Orthogroup	occurrences
OG0000000	482
OG0000001	375
OG0000002	366
OG0000003	315
OG0000004	234
OG0000005	297
OG0000006	203
OG0000007	230
OG0000008	268
OG0000009	99
OG0000010	194
OG0000011	188
OG0000012	216
OG0000013	224
OG0000014	145
OG0000015	237
OG0000016	131
OG0000017	191
OG0000018	173
OG0000019	187
OG0000020	134
OG0000021	165
OG0000022	220
OG0000023	138
OG0000024	161
OG0000025	202
OG0000026	200
OG0000027	199
OG0000028	126
OG0000029	193
OG0000030	189
OG0000031	115
OG0000032	178
OG0000033	97
OG0000034	180
OG0000035	114
OG0000036	114
OG0000037	172
OG0000038	132
OG0000039	86
OG0000040	142
OG0000041	158
OG0000042	159
OG0000043	165
OG0000044	117
OG0000045	138
OG0000046	64
OG0000047	102
OG0000048	122
OG0000049	127
OG0000050	95
OG0000051	51
OG0000052	141
OG0000053	99
OG0000054	130
OG0000055	153
OG0000056	82
OG0000057	47
OG0000058	152
OG0000059	120
OG0000060	88
OG0000061	149
OG0000062	147
OG0000063	122
OG0000064	70
OG0000065	92
OG0000066	145
OG0000067	74
OG0000068	131
OG0000069	143
OG0000070	128
OG0000071	109
OG0000072	140
OG0000073	127
OG0000074	100
OG0000075	130
OG0000076	126
OG0000077	111
OG0000078	102
OG0000079	87
OG0000080	95
OG0000081	115
OG0000082	134
OG0000083	133
OG0000084	71
OG0000085	103
OG0000086	46
OG0000087	116
OG0000088	87
OG0000089	130
OG0000090	125
OG0000091	118
OG0000092	126
OG0000093	98
OG0000094	105
OG0000095	126
OG0000096	50
OG0000097	41
OG0000098	105
OG0000099	90
OG0000100	79
OG0000101	81
OG0000102	94
OG0000103	109
OG0000104	99
OG0000105	122
OG0000106	76
OG0000107	111
OG0000108	46
OG0000109	71
OG0000110	89
OG0000111	62
OG0000112	75
OG0000113	72
OG0000114	94
OG0000115	111
OG0000116	115
OG0000117	115
OG0000118	37
OG0000119	37
OG0000120	92
OG0000121	65
OG0000122	79
OG0000123	83
OG0000124	92
OG0000125	111
OG0000126	61
OG0000127	75
OG0000128	79
OG0000129	58
OG0000130	107
OG0000131	62
OG0000132	63
OG0000133	104
OG0000134	64
OG0000135	56
OG0000136	71
OG0000137	55
OG0000138	33
OG0000139	47
OG0000140	103
OG0000141	34
OG0000142	78
OG0000143	73
OG0000144	66
OG0000145	51
OG0000146	63
OG0000147	57
OG0000148	69
OG0000149	49
OG0000150	92
OG0000151	99
OG0000152	93
OG0000153	86
OG0000154	42
OG0000155	47
OG0000156	38
OG0000157	100
OG0000158	57
OG0000159	70
OG0000160	34
OG0000161	41
OG0000162	76
OG0000163	65
OG0000164	76
OG0000165	97
OG0000166	92
OG0000167	99
OG0000168	98
OG0000169	61
OG0000170	94
OG0000171	85
OG0000172	96
OG0000173	96
OG0000174	71
OG0000175	82
OG0000176	64
OG0000177	95
OG0000178	52
OG0000179	66
OG0000180	92
OG0000181	76
OG0000182	72
OG0000183	92
OG0000184	35
OG0000185	70
OG0000186	59
OG0000187	58
OG0000188	92
OG0000189	69
OG0000190	62
OG0000191	83
OG0000192	91
OG0000193	60
OG0000194	53
OG0000195	49
OG0000196	86
OG0000197	56
OG0000198	90
OG0000199	61
OG0000200	64
OG0000201	89
OG0000202	29
OG0000203	41
OG0000204	69
OG0000205	56
OG0000206	60
OG0000207	56
OG0000208	88
OG0000209	79
OG0000210	46
OG0000211	86
OG0000212	85
OG0000213	48
OG0000214	38
OG0000215	64
OG0000216	54
OG0000217	50
OG0000218	33
OG0000219	51
OG0000220	53
OG0000221	61
OG0000222	31
OG0000223	86
OG0000224	85
OG0000225	73
OG0000226	50
OG0000227	76
OG0000228	85
OG0000229	50
OG0000230	43
OG0000231	82
OG0000232	33
OG0000233	40
OG0000234	32
OG0000235	48
OG0000236	48
OG0000237	48
OG0000238	22
OG0000239	46
OG0000240	57
OG0000241	81
OG0000242	35
OG0000243	54
OG0000244	78
OG0000245	81
OG0000246	30
OG0000247	51
OG0000248	51
OG0000249	37
OG0000250	52
OG0000251	65
OG0000252	80
OG0000253	80
OG0000254	79
OG0000255	71
OG0000256	67
OG0000257	79
OG0000258	32
OG0000259	21
OG0000260	23
OG0000261	31
OG0000262	77
OG0000263	65
OG0000264	34
OG0000265	33
OG0000266	54
OG0000267	43
OG0000268	33
OG0000269	74
OG0000270	76
OG0000271	76
OG0000272	25
OG0000273	29
OG0000274	65
OG0000275	21
OG0000276	43
OG0000277	56
OG0000278	72
OG0000279	75
OG0000280	70
OG0000281	75
OG0000282	35
OG0000283	57
OG0000284	58
OG0000285	50
OG0000286	31
OG0000287	32
OG0000288	42
OG0000289	44
OG0000290	67
OG0000291	50
OG0000292	32
OG0000293	58
OG0000294	73
OG0000295	62
OG0000296	73
OG0000297	73
OG0000298	73
OG0000299	26
OG0000300	47
OG0000301	30
OG0000302	69
OG0000303	72
OG0000304	72
OG0000305	28
OG0000306	18
OG0000307	38
OG0000308	44
OG0000309	51
OG0000310	71
OG0000311	44
OG0000312	50
OG0000313	41
OG0000314	38
OG0000315	44
OG0000316	38
OG0000317	65
OG0000318	61
OG0000319	70
OG0000320	70
OG0000321	64
OG0000322	23
OG0000323	32
OG0000324	38
OG0000325	43
OG0000326	56
OG0000327	36
OG0000328	26
OG0000329	52
OG0000330	69
OG0000331	69
OG0000332	57
OG0000333	46
OG0000334	23
OG0000335	43
OG0000336	37
OG0000337	31
OG0000338	37
OG0000339	18
OG0000340	28
OG0000341	43
OG0000342	58
OG0000343	31
OG0000344	37
OG0000345	42
OG0000346	66
OG0000347	54
OG0000348	66
OG0000349	67
OG0000350	67
OG0000351	19
OG0000352	31
OG0000353	25
OG0000354	65
OG0000355	37
OG0000356	36
OG0000357	39
OG0000358	47
OG0000359	66
OG0000360	66
OG0000361	66
OG0000362	63
OG0000363	38
OG0000364	24
OG0000365	34
OG0000366	27
OG0000367	25
OG0000368	58
OG0000369	45
OG0000370	16
OG0000371	46
OG0000372	42
OG0000373	39
OG0000374	37
OG0000375	20
OG0000376	48
OG0000377	37
OG0000378	25
OG0000379	57
OG0000380	23
OG0000381	35
OG0000382	40
OG0000383	31
OG0000384	37
OG0000385	29
OG0000386	62
OG0000387	22
OG0000388	23
OG0000389	22
OG0000390	25
OG0000391	35
OG0000392	20
OG0000393	42
OG0000394	22
OG0000395	35
OG0000396	40
OG0000397	61
OG0000398	63
OG0000399	61
OG0000400	62
OG0000401	45
OG0000402	35
OG0000403	29
OG0000404	17
OG0000405	18
OG0000406	34
OG0000407	34
OG0000408	31
OG0000409	28
OG0000410	32
OG0000411	51
OG0000412	62
OG0000413	62
OG0000414	60
OG0000415	62
OG0000416	61
OG0000417	37
OG0000418	34
OG0000419	20
OG0000420	32
OG0000421	18
OG0000422	16
OG0000423	37
OG0000424	59
OG0000425	33
OG0000426	38
OG0000427	33
OG0000428	37
OG0000429	36
OG0000430	57
OG0000431	49
OG0000432	59
OG0000433	61
OG0000434	61
OG0000435	57
OG0000436	38
OG0000437	23
OG0000438	46
OG0000439	33
OG0000440	40
OG0000441	26
OG0000442	41
OG0000443	46
OG0000444	53
OG0000445	58
OG0000446	60
OG0000447	60
OG0000448	31
OG0000449	18
OG0000450	26
OG0000451	25
OG0000452	23
OG0000453	26
OG0000454	21
OG0000455	37
OG0000456	41
OG0000457	59
OG0000458	59
OG0000459	21
OG0000460	17
OG0000461	20
OG0000462	27
OG0000463	21
OG0000464	21
OG0000465	29
OG0000466	25
OG0000467	18
OG0000468	40
OG0000469	39
OG0000470	58
OG0000471	58
OG0000472	57
OG0000473	50
OG0000474	17
OG0000475	36
OG0000476	22
OG0000477	14
OG0000478	30
OG0000479	29
OG0000480	32
OG0000481	38
OG0000482	57
OG0000483	57
OG0000484	28
OG0000485	22
OG0000486	26
OG0000487	29
OG0000488	20
OG0000489	22
OG0000490	28
OG0000491	25
OG0000492	47
OG0000493	31
OG0000494	25
OG0000495	52
OG0000496	38
OG0000497	32
OG0000498	34
OG0000499	54
OG0000500	50
OG0000501	56
OG0000502	56
OG0000503	54
OG0000504	56
OG0000505	56
OG0000506	56
OG0000507	17
OG0000508	15
OG0000509	26
OG0000510	20
OG0000511	18
OG0000512	19
OG0000513	13
OG0000514	24
OG0000515	52
OG0000516	18
OG0000517	14
OG0000518	18
OG0000519	23
OG0000520	41
OG0000521	19
OG0000522	23
OG0000523	25
OG0000524	33
OG0000525	42
OG0000526	42
OG0000527	55
OG0000528	47
OG0000529	55
OG0000530	55
OG0000531	55
OG0000532	55
OG0000533	34
OG0000534	32
OG0000535	26
OG0000536	12
OG0000537	34
OG0000538	29
OG0000539	30
OG0000540	21
OG0000541	16
OG0000542	28
OG0000543	23
OG0000544	37
OG0000545	22
OG0000546	30
OG0000547	31
OG0000548	18
OG0000549	26
OG0000550	22
OG0000551	17
OG0000552	39
OG0000553	22
OG0000554	30
OG0000555	32
OG0000556	25
OG0000557	25
OG0000558	43
OG0000559	54
OG0000560	54
OG0000561	53
OG0000562	54
OG0000563	14
OG0000564	19
OG0000565	32
OG0000566	16
OG0000567	17
OG0000568	20
OG0000569	36
OG0000570	34
OG0000571	49
OG0000572	51
OG0000573	45
OG0000574	42
OG0000575	53
OG0000576	53
OG0000577	53
OG0000578	52
OG0000579	30
OG0000580	28
OG0000581	19
OG0000582	19
OG0000583	15
OG0000584	38
OG0000585	22
OG0000586	17
OG0000587	37
OG0000588	20
OG0000589	21
OG0000590	20
OG0000591	33
OG0000592	21
OG0000593	22
OG0000594	23
OG0000595	17
OG0000596	13
