Var1	Var2	Freq
Amaranthus_tuberculatus	Amaranthus_tuberculatus	0
Helianthus_annuus	Amaranthus_tuberculatus	236.11268
Capsella_rubella	Amaranthus_tuberculatus	250.2392
Arabidopsis_halleri	Amaranthus_tuberculatus	250.2392
Arabidopsis_thaliana	Amaranthus_tuberculatus	250.2392
Boechera_stricta	Amaranthus_tuberculatus	250.2392
Eucalyptus_grandis	Amaranthus_tuberculatus	250.2392
Populus_tremula	Amaranthus_tuberculatus	250.2392
Populus_trichocarpa	Amaranthus_tuberculatus	250.2392
Betula_pendula	Amaranthus_tuberculatus	250.2392
Medicago_truncatula	Amaranthus_tuberculatus	250.2392
Panicum_hallii	Amaranthus_tuberculatus	319.22552
Amaranthus_tuberculatus	Helianthus_annuus	236.11268
Helianthus_annuus	Helianthus_annuus	0
Capsella_rubella	Helianthus_annuus	250.2392
Arabidopsis_halleri	Helianthus_annuus	250.2392
Arabidopsis_thaliana	Helianthus_annuus	250.2392
Boechera_stricta	Helianthus_annuus	250.2392
Eucalyptus_grandis	Helianthus_annuus	250.2392
Populus_tremula	Helianthus_annuus	250.2392
Populus_trichocarpa	Helianthus_annuus	250.2392
Betula_pendula	Helianthus_annuus	250.2392
Medicago_truncatula	Helianthus_annuus	250.2392
Panicum_hallii	Helianthus_annuus	319.22552
Amaranthus_tuberculatus	Capsella_rubella	250.2392
Helianthus_annuus	Capsella_rubella	250.2392
Capsella_rubella	Capsella_rubella	0
Arabidopsis_halleri	Capsella_rubella	19.82436
Arabidopsis_thaliana	Capsella_rubella	19.82436
Boechera_stricta	Capsella_rubella	31.96412
Eucalyptus_grandis	Capsella_rubella	226.01172
Populus_tremula	Capsella_rubella	242.72728
Populus_trichocarpa	Capsella_rubella	242.72728
Betula_pendula	Capsella_rubella	242.72728
Medicago_truncatula	Capsella_rubella	242.72728
Panicum_hallii	Capsella_rubella	319.22552
Amaranthus_tuberculatus	Arabidopsis_halleri	250.2392
Helianthus_annuus	Arabidopsis_halleri	250.2392
Capsella_rubella	Arabidopsis_halleri	19.82436
Arabidopsis_halleri	Arabidopsis_halleri	0
Arabidopsis_thaliana	Arabidopsis_halleri	12.39
Boechera_stricta	Arabidopsis_halleri	31.96412
Eucalyptus_grandis	Arabidopsis_halleri	226.01172
Populus_tremula	Arabidopsis_halleri	242.72728
Populus_trichocarpa	Arabidopsis_halleri	242.72728
Betula_pendula	Arabidopsis_halleri	242.72728
Medicago_truncatula	Arabidopsis_halleri	242.72728
Panicum_hallii	Arabidopsis_halleri	319.22552
Amaranthus_tuberculatus	Arabidopsis_thaliana	250.2392
Helianthus_annuus	Arabidopsis_thaliana	250.2392
Capsella_rubella	Arabidopsis_thaliana	19.82436
Arabidopsis_halleri	Arabidopsis_thaliana	12.39
Arabidopsis_thaliana	Arabidopsis_thaliana	0
Boechera_stricta	Arabidopsis_thaliana	31.96412
Eucalyptus_grandis	Arabidopsis_thaliana	226.01172
Populus_tremula	Arabidopsis_thaliana	242.72728
Populus_trichocarpa	Arabidopsis_thaliana	242.72728
Betula_pendula	Arabidopsis_thaliana	242.72728
Medicago_truncatula	Arabidopsis_thaliana	242.72728
Panicum_hallii	Arabidopsis_thaliana	319.22552
Amaranthus_tuberculatus	Boechera_stricta	250.2392
Helianthus_annuus	Boechera_stricta	250.2392
Capsella_rubella	Boechera_stricta	31.96412
Arabidopsis_halleri	Boechera_stricta	31.96412
Arabidopsis_thaliana	Boechera_stricta	31.96412
Boechera_stricta	Boechera_stricta	0
Eucalyptus_grandis	Boechera_stricta	226.01172
Populus_tremula	Boechera_stricta	242.72728
Populus_trichocarpa	Boechera_stricta	242.72728
Betula_pendula	Boechera_stricta	242.72728
Medicago_truncatula	Boechera_stricta	242.72728
Panicum_hallii	Boechera_stricta	319.22552
Amaranthus_tuberculatus	Eucalyptus_grandis	250.2392
Helianthus_annuus	Eucalyptus_grandis	250.2392
Capsella_rubella	Eucalyptus_grandis	226.01172
Arabidopsis_halleri	Eucalyptus_grandis	226.01172
Arabidopsis_thaliana	Eucalyptus_grandis	226.01172
Boechera_stricta	Eucalyptus_grandis	226.01172
Eucalyptus_grandis	Eucalyptus_grandis	0
Populus_tremula	Eucalyptus_grandis	242.72728
Populus_trichocarpa	Eucalyptus_grandis	242.72728
Betula_pendula	Eucalyptus_grandis	242.72728
Medicago_truncatula	Eucalyptus_grandis	242.72728
Panicum_hallii	Eucalyptus_grandis	319.22552
Amaranthus_tuberculatus	Populus_tremula	250.2392
Helianthus_annuus	Populus_tremula	250.2392
Capsella_rubella	Populus_tremula	242.72728
Arabidopsis_halleri	Populus_tremula	242.72728
Arabidopsis_thaliana	Populus_tremula	242.72728
Boechera_stricta	Populus_tremula	242.72728
Eucalyptus_grandis	Populus_tremula	242.72728
Populus_tremula	Populus_tremula	0
Populus_trichocarpa	Populus_tremula	5.10686
Betula_pendula	Populus_tremula	234.12972
Medicago_truncatula	Populus_tremula	234.12972
Panicum_hallii	Populus_tremula	319.22552
Amaranthus_tuberculatus	Populus_trichocarpa	250.2392
Helianthus_annuus	Populus_trichocarpa	250.2392
Capsella_rubella	Populus_trichocarpa	242.72728
Arabidopsis_halleri	Populus_trichocarpa	242.72728
Arabidopsis_thaliana	Populus_trichocarpa	242.72728
Boechera_stricta	Populus_trichocarpa	242.72728
Eucalyptus_grandis	Populus_trichocarpa	242.72728
Populus_tremula	Populus_trichocarpa	5.10686
Populus_trichocarpa	Populus_trichocarpa	0
Betula_pendula	Populus_trichocarpa	234.12972
Medicago_truncatula	Populus_trichocarpa	234.12972
Panicum_hallii	Populus_trichocarpa	319.22552
Amaranthus_tuberculatus	Betula_pendula	250.2392
Helianthus_annuus	Betula_pendula	250.2392
Capsella_rubella	Betula_pendula	242.72728
Arabidopsis_halleri	Betula_pendula	242.72728
Arabidopsis_thaliana	Betula_pendula	242.72728
Boechera_stricta	Betula_pendula	242.72728
Eucalyptus_grandis	Betula_pendula	242.72728
Populus_tremula	Betula_pendula	234.12972
Populus_trichocarpa	Betula_pendula	234.12972
Betula_pendula	Betula_pendula	0
Medicago_truncatula	Betula_pendula	226.23884
Panicum_hallii	Betula_pendula	319.22552
Amaranthus_tuberculatus	Medicago_truncatula	250.2392
Helianthus_annuus	Medicago_truncatula	250.2392
Capsella_rubella	Medicago_truncatula	242.72728
Arabidopsis_halleri	Medicago_truncatula	242.72728
Arabidopsis_thaliana	Medicago_truncatula	242.72728
Boechera_stricta	Medicago_truncatula	242.72728
Eucalyptus_grandis	Medicago_truncatula	242.72728
Populus_tremula	Medicago_truncatula	234.12972
Populus_trichocarpa	Medicago_truncatula	234.12972
Betula_pendula	Medicago_truncatula	226.23884
Medicago_truncatula	Medicago_truncatula	0
Panicum_hallii	Medicago_truncatula	319.22552
Amaranthus_tuberculatus	Panicum_hallii	319.22552
Helianthus_annuus	Panicum_hallii	319.22552
Capsella_rubella	Panicum_hallii	319.22552
Arabidopsis_halleri	Panicum_hallii	319.22552
Arabidopsis_thaliana	Panicum_hallii	319.22552
Boechera_stricta	Panicum_hallii	319.22552
Eucalyptus_grandis	Panicum_hallii	319.22552
Populus_tremula	Panicum_hallii	319.22552
Populus_trichocarpa	Panicum_hallii	319.22552
Betula_pendula	Panicum_hallii	319.22552
Medicago_truncatula	Panicum_hallii	319.22552
Panicum_hallii	Panicum_hallii	0
