gene	rec_mean	orthogroup	freq
Ha412HOChr01:100015321-100021145	0.404313647773814	OG0005571	1
Ha412HOChr01:100574083-100575248	0.404280618311534	OG0000314	7
Ha412HOChr01:100928619-100930738	0.404247588849254	OG0006124	3
Ha412HOChr01:101202030-101206538	0.409433214427269	OG0009438	1
Ha412HOChr01:10171628-10172339	0.209010437310081	OG0014595	7
Ha412HOChr01:101773069-101779363	0.409400184964989	OG0003351	2
Ha412HOChr01:101916391-101920558	0.409367155502708	OG0015799	2
Ha412HOChr01:101941690-101949551	0.409334126040428	OG0013207	1
Ha412HOChr01:101951935-101955754	0.409301096578148	OG0012984	1
Ha412HOChr01:10200439-10203596	0.2089774078478	OG0026902	2
Ha412HOChr01:10203598-10204322	0.20894437838552	OG0026903	2
Ha412HOChr01:102235852-102238293	0.413132514202669	OG0005123	1
Ha412HOChr01:102240291-102245088	0.413099484740388	OG0004991	2
Ha412HOChr01:102452048-102469793	0.413066455278108	OG0003454	2
Ha412HOChr01:102470785-102472532	0.413033425815828	OG0016331	4
Ha412HOChr01:102487944-102494763	0.413000396353547	OG0011771	1
Ha412HOChr01:102581461-102587216	0.412967366891267	OG0007680	2
Ha412HOChr01:102598704-102603264	0.412934337428987	OG0026943	2
Ha412HOChr01:102649771-102656049	0.412901307966706	OG0026716	1
Ha412HOChr01:102858341-102861653	0.412868278504426	OG0003746	1
Ha412HOChr01:102863747-102866960	0.412835249042146	OG0006127	2
Ha412HOChr01:102919232-102921612	0.412802219579865	OG0017776	3
Ha412HOChr01:102928365-102929036	0.412769190117585	OG0015602	3
Ha412HOChr01:103055235-103057302	0.417393314836834	OG0003187	3
Ha412HOChr01:103101662-103118853	0.417360285374554	OG0004301	2
Ha412HOChr01:103656670-103674209	0.417327255912274	OG0004301	2
Ha412HOChr01:103794903-103795518	0.417294226449993	OG0001948	2
Ha412HOChr01:104002167-104003393	0.423635883207821	OG0009484	2
Ha412HOChr01:10405756-10409951	0.20891134892324	OG0004819	2
Ha412HOChr01:104124004-104131166	0.423602853745541	OG0010810	2
Ha412HOChr01:104144571-104150504	0.423569824283261	OG0001406	4
Ha412HOChr01:104151262-104154100	0.42353679482098	OG0010804	1
Ha412HOChr01:104257063-104258626	0.4235037653587	OG0000574	9
Ha412HOChr01:104264270-104266989	0.42347073589642	OG0017777	5
Ha412HOChr01:104398335-104400801	0.423437706434139	OG0022543	3
Ha412HOChr01:104715690-104718420	0.423404676971859	OG0001751	3
Ha412HOChr01:104875349-104878420	0.423371647509579	OG0009418	1
Ha412HOChr01:104881478-104890852	0.423338618047298	OG0001750	3
Ha412HOChr01:10493031-10496675	0.208878319460959	OG0004818	4
Ha412HOChr01:104998110-105002615	0.426707623199894	OG0001887	6
Ha412HOChr01:105797613-105799150	0.428226978464791	OG0008380	1
Ha412HOChr01:106053474-106064997	0.432950191570881	OG0003680	3
Ha412HOChr01:10650483-10661088	0.208845289998679	OG0006589	2
Ha412HOChr01:10662374-10667607	0.208812260536398	OG0004418	1
Ha412HOChr01:10671639-10678298	0.208779231074118	OG0009216	2
Ha412HOChr01:10682244-10687873	0.208746201611838	OG0013973	1
Ha412HOChr01:10688671-10690253	0.208713172149557	OG0000748	5
Ha412HOChr01:106933682-106944552	0.432917162108601	OG0000869	3
Ha412HOChr01:107311286-107323133	0.440381820583961	OG0000869	3
Ha412HOChr01:107451397-107457841	0.440348791121681	OG0008318	1
Ha412HOChr01:107653559-107658057	0.4403157616594	OG0003146	3
Ha412HOChr01:107662253-107667144	0.44028273219712	OG0014597	9
Ha412HOChr01:107672974-107680235	0.440249702734839	OG0009565	1
Ha412HOChr01:107723875-107727127	0.440216673272559	OG0009413	1
Ha412HOChr01:10772770-10779278	0.208680142687277	OG0008394	1
Ha412HOChr01:107747651-107750930	0.440183643810279	OG0009781	2
Ha412HOChr01:107756921-107760340	0.440150614347998	OG0026944	1
Ha412HOChr01:107760342-107761984	0.440117584885718	OG0022544	3
Ha412HOChr01:10781535-10783095	0.208647113224997	OG0005743	3
Ha412HOChr01:10784875-10786079	0.208614083762716	OG0005743	3
Ha412HOChr01:107961887-107970872	0.440084555423438	OG0009254	1
Ha412HOChr01:108576128-108579207	0.448804333465451	OG0002626	3
Ha412HOChr01:109196558-109196860	0.458481965913595	OG0008304	2
Ha412HOChr01:109224499-109228199	0.458448936451315	OG0001131	5
Ha412HOChr01:109296399-109299208	0.458415906989034	OG0001131	5
Ha412HOChr01:1094685-1095215	0.220009248249438	OG0011497	2
Ha412HOChr01:109777510-109783315	0.458382877526754	OG0009711	1
Ha412HOChr01:109795246-109802284	0.458349848064473	OG0004050	2
Ha412HOChr01:109803429-109803991	0.458316818602193	OG0013890	1
Ha412HOChr01:109805691-109808121	0.458283789139913	OG0007883	1
Ha412HOChr01:109813664-109820047	0.458250759677632	OG0005883	1
Ha412HOChr01:1098313-1100904	0.219976218787158	OG0007593	2
Ha412HOChr01:110072522-110073840	0.467664156427533	OG0020108	3
Ha412HOChr01:110072605-110073914	0.467631126965253	OG0015743	6
Ha412HOChr01:1101039-1102214	0.219943189324878	OG0014992	1
Ha412HOChr01:110379332-110383193	0.467598097502973	OG0017778	5
Ha412HOChr01:110421969-110423887	0.467565068040692	OG0022545	3
Ha412HOChr01:110468363-110472407	0.467532038578412	OG0002543	3
Ha412HOChr01:110482175-110483730	0.467499009116132	OG0004652	3
Ha412HOChr01:110483732-110485452	0.467465979653851	OG0019976	2
Ha412HOChr01:110495677-110498595	0.467432950191571	OG0022545	3
Ha412HOChr01:110567831-110575474	0.467399920729291	OG0001400	3
