gene	rec_mean	orthogroup	freq
Ha412HOChr01:100015321-100021145	0.406975985382407	OG0005571	1
Ha412HOChr01:100574083-100575248	0.406943356825894	OG0000314	7
Ha412HOChr01:100928619-100930738	0.406910728269381	OG0006124	3
Ha412HOChr01:101202030-101206538	0.412098668754894	OG0009438	1
Ha412HOChr01:10171628-10172339	0.211661446097625	OG0014595	9
Ha412HOChr01:101773069-101779363	0.412066040198382	OG0003351	2
Ha412HOChr01:101916391-101920558	0.412033411641869	OG0015799	2
Ha412HOChr01:101941690-101949551	0.412000783085356	OG0013207	1
Ha412HOChr01:101951935-101955754	0.411968154528844	OG0012984	1
Ha412HOChr01:10200439-10203596	0.211628817541112	OG0026902	2
Ha412HOChr01:10203598-10204322	0.211596188984599	OG0026903	2
Ha412HOChr01:102235852-102238293	0.4157204385278	OG0005123	1
Ha412HOChr01:102240291-102245088	0.415687809971287	OG0004991	2
Ha412HOChr01:102452048-102469793	0.415655181414774	OG0003454	2
Ha412HOChr01:102470785-102472532	0.415622552858262	OG0016331	4
Ha412HOChr01:102487944-102494763	0.415589924301749	OG0011771	1
Ha412HOChr01:102581461-102587216	0.415557295745236	OG0007680	2
Ha412HOChr01:102649771-102656049	0.415524667188724	OG0026716	1
Ha412HOChr01:102858341-102861653	0.415492038632211	OG0003746	1
Ha412HOChr01:102863747-102866960	0.415459410075698	OG0006127	2
Ha412HOChr01:102919232-102921612	0.415426781519186	OG0017776	3
Ha412HOChr01:102928365-102929036	0.415394152962673	OG0015602	3
Ha412HOChr01:103055235-103057302	0.419994779430958	OG0003187	3
Ha412HOChr01:103101662-103118853	0.419962150874445	OG0004301	2
Ha412HOChr01:103656670-103674209	0.419929522317933	OG0004301	2
Ha412HOChr01:103794903-103795518	0.41989689376142	OG0001948	2
Ha412HOChr01:104002167-104003393	0.426259462281389	OG0009484	2
Ha412HOChr01:10405756-10409951	0.211563560428087	OG0004819	2
Ha412HOChr01:104124004-104131166	0.426226833724876	OG0010810	2
Ha412HOChr01:104144571-104150504	0.426194205168363	OG0001406	4
Ha412HOChr01:104151262-104154100	0.426161576611851	OG0010804	1
Ha412HOChr01:104264270-104266989	0.426128948055338	OG0017777	5
Ha412HOChr01:104398335-104400801	0.426096319498825	OG0022543	3
Ha412HOChr01:104715690-104718420	0.426063690942313	OG0001751	3
Ha412HOChr01:104875349-104878420	0.4260310623858	OG0009418	1
Ha412HOChr01:104881478-104890852	0.425998433829287	OG0001750	3
Ha412HOChr01:10493031-10496675	0.211530931871574	OG0004818	4
Ha412HOChr01:104998110-105002615	0.429293918037066	OG0001887	6
Ha412HOChr01:105797613-105799150	0.43069694596711	OG0008380	1
Ha412HOChr01:106053474-106064997	0.435558600887497	OG0003680	3
Ha412HOChr01:10650483-10661088	0.211498303315061	OG0006589	2
Ha412HOChr01:10662374-10667607	0.211465674758549	OG0004418	1
