genome,count,cat
Boechera stricta,185,unrelated
Arabidopsis halleri,20,unrelated
Medicago truncatula,166,unrelated
Capsella rubella,46,unrelated
Eucaluptus sideroxylon,137,unrelated
Eucaluptus magnificata,41,unrelated
Panicum hallii,52,unrelated
Amaranthus tuberculatus,109,unrelated
Arabidopsis thaliana,160,unrelated
Eucaluptus albens,208,unrelated
Populus tremula,91,unrelated
Helianthus argophyllus,293,unrelated
Helianthus petiolaris,438,unrelated
Helianthus annuus,565,unrelated
Betula platyphylla,63,unrelated
Betula pendula,57,unrelated
Populus trichocarpa,182,unrelated
Boechera stricta,299,related
Arabidopsis halleri,35,related
Medicago truncatula,8,related
Capsella rubella,0,related
Eucaluptus sideroxylon,12,related
Eucaluptus magnificata,6,related
Panicum hallii,5,related
Amaranthus tuberculatus,57,related
Arabidopsis thaliana,0,related
Eucaluptus albens,13,related
Populus tremula,3,related
Helianthus argophyllus,6,related
Helianthus petiolaris,37,related
Helianthus annuus,49,related
Betula platyphylla,8,related
Betula pendula,17,related
Populus trichocarpa,9,related
