gene	min_CLR	scan_n	mean_emp_p	orthogroup	ortho_size
Athal_NC_003070.9:10006230-10006778	0	5	0.531916642689794	OG0004489	3
Athal_NC_003070.9:10010124-10012258	0	5	0.646717908668667	OG0018350	1
Athal_NC_003070.9:1001116-1004410	0	5	0.435282995601956	OG0000747	5
Athal_NC_003070.9:10013434-10014256	0	5	0.565128036499651	OG0002923	1
Athal_NC_003070.9:10015856-10018047	0	5	0.390932631838547	OG0006509	1
Athal_NC_003070.9:10018691-10020479	0	5	0.00846726129310699	OG0014206	2
Athal_NC_003070.9:10023817-10026311	0	5	0.0189896830942497	OG0002671	2
Athal_NC_003070.9:10029083-10031990	0	5	0.00920711907599984	OG0003702	1
Athal_NC_003070.9:10031985-10035638	0	5	0.0959759957252661	OG0009179	1
Athal_NC_003070.9:10035617-10037403	0	5	0.958773480208804	OG0011686	1
Athal_NC_003070.9:10036601-10037872	0	5	0.089399482099552	OG0000234	9
Athal_NC_003070.9:10038029-10041544	0	5	0.431583706687492	OG0006510	1
Athal_NC_003070.9:1004688-1008370	0	5	0.74885938591804	OG0000389	7
Athal_NC_003070.9:10058456-10063452	0	5	0.417978544124296	OG0015441	2
Athal_NC_003070.9:10078189-10079909	0	5	0.153684902790908	OG0011687	1
Athal_NC_003070.9:10080042-10081604	0	5	0.708208311069095	OG0011688	1
Athal_NC_003070.9:10081871-10083122	0	5	0.390028361215011	OG0001247	3
Athal_NC_003070.9:10083500-10085030	0	5	0.642155452340828	OG0001247	3
Athal_NC_003070.9:10086366-10089772	0	5	0.0187430638332854	OG0001247	3
Athal_NC_003070.9:1009228-1011145	0	5	0.477619302067491	OG0000684	2
Athal_NC_003070.9:10095674-10096374	0	5	0.881293929055859	OG0018351	1
Athal_NC_003070.9:10103081-10104883	0	5	0.0368695795141601	OG0008118	1
Athal_NC_003070.9:10109500-10111738	0	5	0.793579678572897	OG0001614	3
Athal_NC_003070.9:1011151-1013365	0	5	0.834806198364092	OG0003020	2
Athal_NC_003070.9:10112564-10114491	0	5	0.0734103333470344	OG0012941	1
Athal_NC_003070.9:10114912-10115749	0	5	0.951374902379876	OG0003928	1
Athal_NC_003070.9:10117715-10119085	0	5	0.129516215216408	OG0018352	1
Athal_NC_003070.9:10120300-10122973	0	5	0.686218093633113	OG0008119	4
Athal_NC_003070.9:10124286-10127098	0	5	0.174030991820461	OG0008119	4
Athal_NC_003070.9:10129027-10133992	0	5	0.530601339964651	OG0004007	2
Athal_NC_003070.9:10134069-10136124	0	5	0.237042212996835	OG0009180	1
Athal_NC_003070.9:10135451-10136241	0	5	0.757943195363558	OG0018353	1
Athal_NC_003070.9:10136246-10139228	0	5	0.133133297710551	OG0001117	4
Athal_NC_003070.9:1013652-1017957	0	5	0.0544617534629455	OG0001057	5
Athal_NC_003070.9:10147605-10149780	0	5	0.741419704878951	OG0005337	2
Athal_NC_003070.9:10149791-10151407	0	5	0.0700809733240166	OG0010402	1
Athal_NC_003070.9:10157494-10158805	0	5	0.655925027744667	OG0008120	4
Athal_NC_003070.9:10162795-10164452	0	5	0.411813062600189	OG0008120	4
Athal_NC_003070.9:10168717-10169916	0	5	0.361708249414279	OG0018354	1
Athal_NC_003070.9:10171683-10173071	0	5	0.465370545439599	OG0008120	4
Athal_NC_003070.9:10174187-10178521	0	5	0.548070204282954	OG0010403	1
Athal_NC_003070.9:10178902-10180225	0	5	0.676599942455506	OG0002332	3
Athal_NC_003070.9:10180302-10182788	0	5	0.814090180443093	OG0004394	1
Athal_NC_003070.9:1018100-1019247	0	5	0.0990998396974804	OG0002906	2
Athal_NC_003070.9:10183390-10184512	0	5	0.856796415800074	OG0005338	2
Athal_NC_003070.9:10190137-10195213	0	5	0.821817583953307	OG0005339	2
Athal_NC_003070.9:1019311-1022108	0	5	0.0559414690287311	OG0004436	2
Athal_NC_003070.9:10198764-10200255	0	5	0.724814007974023	OG0013946	1
Athal_NC_003070.9:10202414-10203491	0	5	0.208311069094496	OG0007214	1
Athal_NC_003070.9:10207577-10210488	0	5	0.46142463726417	OG0009182	1
Athal_NC_003070.9:10210520-10212722	0	5	0.722717744255826	OG0007215	1
