gene	min_CLR	scan_n	mean_emp_p	orthogroup	ortho_size
Athal_NC_003070.9:10003880-10004581	6.885081	1	0.286197206044068	OG0004489	4
Athal_NC_003070.9:10006230-10006778	4.060627	2	0.44076080316051	OG0004489	4
Athal_NC_003070.9:10010124-10012258	4.281329	3	0.402965014458518	OG0018350	1
Athal_NC_003070.9:1001116-1004410	2.20473	4	0.532562212356942	OG0000747	5
Athal_NC_003070.9:10013434-10014256	3.417539	2	0.406467641428746	OG0002923	1
Athal_NC_003070.9:10015856-10018047	1.87414	3	0.760477334745245	OG0006509	1
Athal_NC_003070.9:10018691-10020479	2.874094	2	0.30949374821814	OG0014206	2
Athal_NC_003070.9:10023817-10026311	1.406017	3	0.452938541115139	OG0002671	2
Athal_NC_003070.9:10029083-10031990	10.19661	4	0.0872398484910194	OG0003702	1
Athal_NC_003070.9:10031985-10035638	2.34545	5	0.15444141245469	OG0009179	1
Athal_NC_003070.9:10035617-10037403	2.41144	2	0.505070663462713	OG0011686	1
Athal_NC_003070.9:10036601-10037872	2.41144	2	0.0717631246690832	OG0000234	9
Athal_NC_003070.9:10038029-10041544	3.789073	4	0.140430904573779	OG0006510	1
Athal_NC_003070.9:1004688-1008370	2.053806	4	0.707693560868326	OG0000389	7
Athal_NC_003070.9:10058456-10063452	1.664442	6	0.100720889504338	OG0015441	2
Athal_NC_003070.9:10078189-10079909	2.744051	3	0.0575489756852523	OG0011687	1
Athal_NC_003070.9:10080042-10081604	2.228533	3	0.745082067364477	OG0011688	1
Athal_NC_003070.9:10081871-10083122	2.228533	2	0.579358937808007	OG0001247	3
Athal_NC_003070.9:10083500-10085030	3.867295	3	0.482833055023826	OG0001247	3
Athal_NC_003070.9:10086366-10089772	2.089018	5	0.0538834358326885	OG0001247	3
Athal_NC_003070.9:1009228-1011145	1.986396	3	0.572801694293976	OG0000684	2
Athal_NC_003070.9:10095674-10096374	2.821817	1	0.782063291654788	OG0018351	1
Athal_NC_003070.9:10103081-10104883	3.434795	3	0.0368590396285586	OG0008118	1
