gene	min_CLR	scan_n	mean_emp_p	orthogroup	ortho_size
Ha412HOChr00c00005:178995-183602	0	5	0.061201646090535	OG0002901	3
Ha412HOChr00c00005:187163-190878	0	5	1	OG0001938	6
Ha412HOChr00c00005:239676-240659	0	5	0.0157695473251029	OG0004398	3
Ha412HOChr00c00005:244375-247827	0	5	0.9999670781893	OG0004684	3
Ha412HOChr00c00007:121560-126750	0	5	0.290337448559671	OG0013115	1
Ha412HOChr00c00008:238425-242683	0	5	0.744230452674897	OG0001965	5
Ha412HOChr00c00008:3174-7219	0	5	0.135341563786008	OG0002718	3
Ha412HOChr00c00009:165060-166172	0	5	0.153415637860082	OG0002263	6
Ha412HOChr00c00014:105954-108439	0	5	0.00339094650205761	OG0007567	1
Ha412HOChr00c00014:72726-84192	0	5	0.0233086419753086	OG0011692	1
Ha412HOChr00c00020:103272-118491	0	5	0.0202469135802469	OG0007302	3
Ha412HOChr00c00020:134200-138522	0	5	0.346337448559671	OG0007302	3
Ha412HOChr00c00022:87974-92878	0	5	0.999934156378601	OG0004287	3
Ha412HOChr00c00023:143797-147565	0	5	0.371654320987654	OG0027791	1
Ha412HOChr00c00023:202277-211362	0	5	0.808954732510288	OG0016676	4
Ha412HOChr00c00040:8151-9465	0	5	0.97438683127572	OG0000533	5
Ha412HOChr00c00041:101616-105136	0	5	0.251555555555556	OG0006870	4
Ha412HOChr00c00041:83685-84428	0	5	0.999901234567901	OG0017725	4
Ha412HOChr00c00041:85802-87938	0	5	0.22238683127572	OG0017725	4
Ha412HOChr00c00052:19875-22831	0	5	0.973135802469136	OG0000073	2
Ha412HOChr00c00061:9916-11371	0	5	0.971292181069959	OG0005063	4
Ha412HOChr00c00065:61375-61926	0	5	0.999868312757202	OG0002969	2
Ha412HOChr00c00071:9103-9538	0	5	0.999835390946502	OG0014099	5
Ha412HOChr00c00094:17514-22075	0	5	0.0337777777777778	OG0012448	1
Ha412HOChr00c00094:22759-24734	0	5	0.231572016460905	OG0027696	2
