gene	min_CLR	scan_n	mean_emp_p	orthogroup	ortho_size
Ha412HOChr00c00001:218888-220273	0	2	1	OG0000227	3
Ha412HOChr00c00001:267542-270512	0	4	0.999968282161888	OG0014594	8
Ha412HOChr00c00005:178995-183602	0	6	0.277372494290789	OG0002901	3
Ha412HOChr00c00005:187163-190878	25.791126	4	0.188657701091094	OG0001938	5
Ha412HOChr00c00005:239676-240659	0	2	0.999936564323776	OG0004398	3
Ha412HOChr00c00005:244375-247827	31.110392	4	0.121066988074093	OG0004684	3
Ha412HOChr00c00005:365003-365674	0	2	0.999904846485664	OG0007745	4
Ha412HOChr00c00007:121560-126750	3.092522	6	0.758119766556712	OG0013115	1
Ha412HOChr00c00008:238425-242683	0	5	0.275596295356508	OG0001965	7
Ha412HOChr00c00008:3174-7219	0	1	0.999873128647551	OG0002718	3
Ha412HOChr00c00008:91540-105926	0	15	0.999841410809439	OG0001965	7
Ha412HOChr00c00009:165060-166172	43.353252	2	0.0256280131946207	OG0002263	6
Ha412HOChr00c00014:105954-108439	0	4	0.892508246637909	OG0007567	1
Ha412HOChr00c00014:72726-84192	0	13	0.443827708703375	OG0011692	1
Ha412HOChr00c00017:20566-21894	38.264343	2	0.101179903577772	OG0014575	3
Ha412HOChr00c00017:226258-228583	0	3	0.999809692971327	OG0022905	3
Ha412HOChr00c00017:73721-74431	0	2	0.999777975133215	OG0027853	2
Ha412HOChr00c00017:75262-83739	0	10	0.999746257295103	OG0000332	3
Ha412HOChr00c00017:80258-80941	0	2	0.999714539456991	OG0027853	2
Ha412HOChr00c00020:103272-118491	0	16	0.300907130170008	OG0007302	3
Ha412HOChr00c00020:134200-138522	0	5	0.0266429840142096	OG0007302	3
Ha412HOChr00c00021:69116-80455	0	13	0.999682821618878	OG0020251	4
Ha412HOChr00c00022:87974-92878	0	1	0.999651103780766	OG0004287	5
Ha412HOChr00c00023:143797-147565	0	5	0.999619385942654	OG0027791	2
Ha412HOChr00c00023:182563-184516	0	3	0.999587668104542	OG0000227	3
Ha412HOChr00c00023:186746-193128	0	8	0.99955595026643	OG0016676	5
Ha412HOChr00c00023:202277-211362	0	3	0.457529814767825	OG0016676	5
Ha412HOChr00c00039:89592-91738	0	3	0.999524232428318	OG0008058	2
Ha412HOChr00c00040:8151-9465	5.37739	2	0.455595026642984	OG0000533	5
Ha412HOChr00c00041:101616-105136	8.66299	5	0.250507485409794	OG0006870	4
Ha412HOChr00c00041:83685-84428	27.628347	2	0.158176858665313	OG0017725	4
Ha412HOChr00c00041:85802-87938	27.628347	4	0.0565211875158589	OG0017725	4
Ha412HOChr00c00052:19875-22831	0	4	0.567495559502664	OG0000073	2
Ha412HOChr00c00061:9916-11371	0	2	0.999492514590205	OG0005063	5
Ha412HOChr00c00065:24176-24760	0	2	0.999460796752093	OG0001326	4
Ha412HOChr00c00065:61375-61926	0	1	0.999429078913981	OG0002969	2
Ha412HOChr00c00090:25389-25963	0	2	0.999397361075869	OG0019803	1
Ha412HOChr00c00094:17514-22075	0	4	0.118307536158335	OG0012448	1
Ha412HOChr00c00094:22759-24734	15.909598	3	0.116182441004821	OG0027696	2
Ha412HOChr00c00094:26195-27767	44.978897	3	0.0763765541740675	OG0020090	4
Ha412HOChr00c00111:38350-41301	0	2	0.999365643237757	OG0001355	8
Ha412HOChr00c00124:11291-12778	0	1	0.999333925399645	OG0004556	2
Ha412HOChr00c00144:571-1748	0	2	0.999302207561533	OG0004398	3
Ha412HOChr00c00155:38073-39958	0	2	0.931045419944177	OG0027662	2
Ha412HOChr00c00169:10608-11357	32.397198	1	0.133373509261609	OG0001552	4
Ha412HOChr00c00169:17696-18564	0	2	0.883658969804618	OG0008793	3
Ha412HOChr00c00180:24700-28108	0	2	0.99927048972342	OG0025445	1
Ha412HOChr00c00192:13065-14928	0	2	0.722881248414108	OG0010040	2
Ha412HOChr00c00203:5390-7671	0	3	0.999238771885308	OG0001142	4
Ha412HOChr00c00207:1-1933	0	2	0.348959654909921	OG0008175	3
Ha412HOChr00c00212:27325-28980	0	2	0.92314767825425	OG0014097	10
Ha412HOChr00c00220:19187-20705	0	3	0.335891905607714	OG0020147	4
Ha412HOChr00c00221:28176-29470	0	2	0.017064196904339	OG0007692	2
Ha412HOChr00c00234:428-1802	0	2	0.380962953565085	OG0004236	4
Ha412HOChr00c00238:5355-14141	0	9	0.136354986044151	OG0002502	4
