ID	GENE_COORD	TAIR	GENE_NAME	OG
gene-ArthCp007	Athal_NC_000932.1:9938-11461	nbis-gene-6	psbA	OG0011406
gene-ArthCp008	Athal_NC_000932.1:11529-11938	nbis-gene-7	matK	OG0015469
gene-ArthCp009	Athal_NC_000932.1:13262-13507	nbis-gene-8	rps16	OG0013396
gene-ArthCp010	Athal_NC_000932.1:14021-14770	nbis-gene-9	psbK	OG0015470
gene-ArthCp011	Athal_NC_000932.1:15013-15723	nbis-gene-10	psbI	OG0010147
gene-ArthCp012	Athal_NC_000932.1:15938-20068	nbis-gene-11	atpA	OG0001289
gene-ArthCp013	Athal_NC_000932.1:20251-21861	nbis-gene-12	atpF	OG0001289
gene-ArthCp014	Athal_NC_000932.1:23111-26329	nbis-gene-13	atpH	OG0012714
gene-ArthCp015	Athal_NC_000932.1:28089-28178	nbis-gene-14	atpI	OG0024567
gene-ArthCp016	Athal_NC_000932.1:28707-28811	nbis-gene-15	rps2	OG0017270
gene-ArthCp017	Athal_NC_000932.1:32711-33772	nbis-gene-16	rpoC2	OG0002850
gene-ArthCp018	Athal_NC_000932.1:33720-35141	nbis-gene-17	rpoC1	OG0002850
gene-ArthCp019	Athal_NC_000932.1:35751-35939	nbis-gene-18	rpoB	OG0019370
gene-ArthCp020	Athal_NC_000932.1:36938-37240	nbis-gene-19	petN	OG0007640
gene-ArthCp021	Athal_NC_000932.1:37375-39579	nbis-gene-20	psbM	OG0000839
gene-ArthCp022	Athal_NC_000932.1:39605-41857	nbis-gene-21	psbD	OG0000839
gene-ArthCp023	Athal_NC_000932.1:43524-43751	nbis-gene-22	psbC	OG0016189
gene-ArthCp024	Athal_NC_000932.1:45223-45828	nbis-gene-23	psbZ	OG0004747
gene-ArthCp025	Athal_NC_000932.1:48677-49153	nbis-gene-24	rps14	OG0016190
gene-ArthCp026	Athal_NC_000932.1:49257-49934	nbis-gene-25	psaB	OG0013397
gene-ArthCp027	Athal_NC_000932.1:50001-50363	nbis-gene-26	psaA	OG0015471
gene-ArthCp028	Athal_NC_000932.1:52265-52663	nbis-gene-27	ycf3	OG0013398
gene-ArthCp029	Athal_NC_000932.1:52660-54156	nbis-gene-28	rps4	OG0002569
gene-ArthCp030	Athal_NC_000932.1:54958-56397	nbis-gene-29	ndhJ	OG0002173
gene-ArthCp031	Athal_NC_000932.1:57075-58541	nbis-gene-30	ndhK	OG0012715
gene-ArthCp032	Athal_NC_000932.1:59247-59360	nbis-gene-31	ndhC	OG0017271
gene-ArthCp033	Athal_NC_000932.1:59772-60326	nbis-gene-32	atpE	OG0007067
gene-ArthCp034	Athal_NC_000932.1:60741-61430	nbis-gene-33	atpB	OG0003927
gene-ArthCp035	Athal_NC_000932.1:61657-62619	nbis-gene-34	rbcL	OG0005778
gene-ArthCp036	Athal_NC_000932.1:63538-63660	nbis-gene-35	accD	OG0019371
gene-ArthCp037	Athal_NC_000932.1:63804-63920	nbis-gene-36	psaI	OG0024568
gene-ArthCp038	Athal_NC_000932.1:63942-64061	nbis-gene-37	ycf4	OG0016191
gene-ArthCp039	Athal_NC_000932.1:64071-64322	nbis-gene-38	cemA	OG0008952
gene-ArthCp040	Athal_NC_000932.1:65712-65807	nbis-gene-39	petA	OG0019372
gene-ArthCp041	Athal_NC_000932.1:65998-66111	nbis-gene-40	psbJ	OG0014879
gene-ArthCp042	Athal_NC_000932.1:66929-67063	nbis-gene-41	psbL	OG0024569
gene-ArthCp043	Athal_NC_000932.1:67488-67688	nbis-gene-42	psbF	OG0016192
gene-ArthCp044	Athal_NC_000932.1:67917-68222	nbis-gene-43	psbE	OG0014880
gene-ArthCp045	Athal_NC_000932.1:68512-68865	nbis-gene-44	petL	OG0011407
gene-ArthCp001	Athal_NC_000932.1:98562-98793	12	rps12	OG0003365
gene-ArthCp048	Athal_NC_000932.1:70653-70944	nbis-gene-45	petG	OG0006377
gene-ArthCp049	Athal_NC_000932.1:72371-73897	nbis-gene-46	psaJ	OG0007903
gene-ArthCp050	Athal_NC_000932.1:74082-74183	nbis-gene-47	rpl33	OG0021371
gene-ArthCp051	Athal_NC_000932.1:74249-74380	nbis-gene-48	rps18	OG0014393
gene-ArthCp052	Athal_NC_000932.1:74485-74706	nbis-gene-49	rpl20	OG0008953
gene-ArthCp053	Athal_NC_000932.1:75651-76292	nbis-gene-50	clpP	OG0004748
gene-ArthCp054	Athal_NC_000932.1:77198-77672	nbis-gene-51	psbB	OG0013903
gene-ArthCp055	Athal_NC_000932.1:77901-78890	nbis-gene-52	psbT	OG0011408
gene-ArthCp056	Athal_NC_000932.1:78960-79376	nbis-gene-53	psbN	OG0003624
gene-ArthCp057	Athal_NC_000932.1:79489-79602	nbis-gene-54	psbH	OG0006152
gene-ArthCp058	Athal_NC_000932.1:80068-80472	nbis-gene-55	petB	OG0010148
gene-ArthCp059	Athal_NC_000932.1:80696-81064	nbis-gene-56	petD	OG0006378
gene-ArthCp060	Athal_NC_000932.1:81189-81587	nbis-gene-57	rpoA	OG0003273
gene-ArthCp061	Athal_NC_000932.1:82826-83482	nbis-gene-58	rps11	OG0013399
gene-ArthCp062	Athal_NC_000932.1:83467-83949	nbis-gene-59	rpl36	OG0013904
gene-ArthCp063	Athal_NC_000932.1:84005-84283	nbis-gene-60	rps8	OG0014394
gene-ArthCp064	Athal_NC_000932.1:84337-84771	nbis-gene-61	rpl14	OG0000840
gene-ArthCp065	Athal_NC_000932.1:85862-86143	nbis-gene-62	rpl16	OG0012716
gene-ArthCp066	Athal_NC_000932.1:86474-93358	nbis-gene-63	rps3	OG0001983
gene-ArthCp068	Athal_NC_000932.1:96388-97164	nbis-gene-64	rpl22	OG0001026
gene-ArthCp069	Athal_NC_000932.1:97478-97945	nbis-gene-65	rps19	OG0001472
gene-ArthCp047	Athal_NC_000932.1:139856-140087	10	rps12	NA
gene-ArthCp070	Athal_NC_000932.1:109405-110436	nbis-gene-66	rpl2	OG0003625
gene-ArthCp071	Athal_NC_000932.1:110398-112638	nbis-gene-67	rpl23	OG0005779
gene-ArthCp072	Athal_NC_000932.1:113449-113607	nbis-gene-68	ycf2	OG0015472
gene-ArthCp073	Athal_NC_000932.1:114461-115447	nbis-gene-69	ndhB	OG0012717
gene-ArthCp074	Athal_NC_000932.1:115665-117167	nbis-gene-70	rps7	OG0007904
gene-ArthCp075	Athal_NC_000932.1:117318-117563	nbis-gene-71	ycf1	OG0016193
gene-ArthCp076	Athal_NC_000932.1:117804-118109	nbis-gene-72	ndhF	OG0015473
gene-ArthCp077	Athal_NC_000932.1:118377-118907	nbis-gene-73	rpl32	OG0013905
gene-ArthCp078	Athal_NC_000932.1:119244-119762	nbis-gene-74	ccsA	OG0006379
gene-ArthCp079	Athal_NC_000932.1:121457-122009	nbis-gene-75	ndhD	OG0000968
gene-ArthCp080	Athal_NC_000932.1:122011-123192	nbis-gene-76	psaC	OG0000968
gene-ArthCp081	Athal_NC_000932.1:123296-123562	nbis-gene-77	ndhE	OG0015474
gene-Arthcp087	Athal_NC_000932.1:123884-129244	nbis-gene-82	rps15	OG0003625
gene-ArthCp088	Athal_NC_000932.1:140704-141171	nbis-gene-83	ycf1	OG0001472
gene-ArthCp086	Athal_NC_000932.1:141485-142261	nbis-gene-81	ndhH	OG0001026
gene-ArthCp083	Athal_NC_000932.1:145291-152175	nbis-gene-78	ndhG	OG0001983
gene-ArthCp084	Athal_NC_000932.1:152506-152787	nbis-gene-79	ndhI	OG0012716
gene-ArthCp085	Athal_NC_000932.1:153878-154312	nbis-gene-80	ndhA	OG0000840
gene-ArthCp002	Athal_NC_000932.1:383-1444	nbis-gene-1	atp1	OG0006380
gene-ArthCp003	Athal_NC_000932.1:2056-3570	nbis-gene-2	cox1	OG0010149
gene-ArthCp004	Athal_NC_000932.1:5084-5283	nbis-gene-3	mttB	NA
gene-DA397_mgp01	Athal_NC_037304.1:6264-6963	nbis-sequence_feature-1	cox2	OG0015475
gene-ArthCp005	Athal_NC_000932.1:7017-7202	nbis-gene-4	rpl2	OG0013906
gene-ArthCp006	Athal_NC_000932.1:7583-7693	nbis-gene-5	nad7	OG0017272
gene-DA397_mgp02	Athal_NC_037304.1:17814-18434	nbis-gene-84	ccmB	OG0017273
gene-DA397_mgp40	Athal_NC_037304.1:21822-23418	nbis-gene-433	rps3	OG0013907
gene-DA397_mgp39	Athal_NC_037304.1:23285-23824	nbis-sequence_feature-16	rpl16	OG0013907
gene-DA397_mgp38	Athal_NC_037304.1:24665-25237	nbis-sequence_feature-15	nad9	OG0014395
gene-DA397_mgp37	Athal_NC_037304.1:235413-236628	id-DA397_mgp37-14	nad5	NA
gene-DA397_mgp35	Athal_NC_037304.1:49423-50580	nbis-sequence_feature-14	atp6	OG0010150
gene-DA397_mgp34	Athal_NC_037304.1:82937-83321	id-DA397_mgp34-12	nad1	OG0008185
gene-DA397_mgp33	Athal_NC_037304.1:67098-68621	nbis-gene-96	atp1	OG0011409
gene-DA397_mgp32	Athal_NC_037304.1:79559-80005	nbis-sequence_feature-13	rps7	OG0017274
gene-DA397_mgp30	Athal_NC_037304.1:114762-116345	nbis-gene-95	cox1	OG0013400
gene-DA397_mgp29	Athal_NC_037304.1:159980-161068	nbis-sequence_feature-12	rps4	NA
gene-DA397_mgp31	Athal_NC_037304.1:94666-95238	id-DA397_mgp31-13	nad2	OG0010733
gene-DA397_mgp28	Athal_NC_037304.1:165838-166455	nbis-sequence_feature-11	nad6	NA
gene-DA397_mgp27	Athal_NC_037304.1:181677-182858	nbis-gene-94	cob	OG0016194
gene-DA397_mgp25	Athal_NC_037304.1:184762-185319	nbis-gene-93	rpl5	OG0016195
gene-DA397_mgp24	Athal_NC_037304.1:189483-190261	nbis-gene-432	ccmFC	OG0009888
gene-DA397_mgp23	Athal_NC_037304.1:213115-213629	nbis-gene-92	nad4	OG0013908
gene-DA397_mgp22	Athal_NC_037304.1:218904-219746	nbis-gene-91	mttB	OG0024570
