gene	min_CLR	scan_n	mean_emp_p	orthogroup	ortho_size
Ha412HOChr00c00005:178995-183602	240.483932	5	0.00289365022596482	OG0002901	3
Ha412HOChr00c00005:187163-190878	42.81897	5	0.040185973924635	OG0001938	6
Ha412HOChr00c00005:239676-240659	18.719259	5	0.127288097018565	OG0004398	3
Ha412HOChr00c00005:244375-247827	38.179211	5	0.0475989205709269	OG0004684	3
Ha412HOChr00c00005:365003-365674	5.06929	5	0.519328933250967	OG0007745	4
Ha412HOChr00c00007:121560-126750	4.90629	5	0.532919335435836	OG0013115	1
Ha412HOChr00c00008:238425-242683	7.664157	5	0.361771304093377	OG0001965	6
Ha412HOChr00c00008:3174-7219	3.770093	5	0.642097733849205	OG0002718	3
Ha412HOChr00c00008:91540-105926	3.569725	5	0.66446662548363	OG0001965	6
Ha412HOChr00c00009:165060-166172	44.119003	5	0.0382026855675131	OG0002263	6
Ha412HOChr00c00014:105954-108439	0	5	1	OG0007567	1
Ha412HOChr00c00014:72726-84192	44.86483	5	0.0372272978508957	OG0011692	1
Ha412HOChr00c00020:103272-118491	20.881054	5	0.109438501804467	OG0007302	3
Ha412HOChr00c00020:134200-138522	6.618929	5	0.414474753714602	OG0007302	3
Ha412HOChr00c00023:186746-193128	0	5	0.999967487076113	OG0016676	5
Ha412HOChr00c00023:202277-211362	9.121402	5	0.303963325421855	OG0016676	5
Ha412HOChr00c00041:101616-105136	22.415531	5	0.0994895470949703	OG0006870	4
Ha412HOChr00c00041:83685-84428	6.992946	5	0.394706895991156	OG0017725	4
Ha412HOChr00c00041:85802-87938	17.709246	5	0.136749357869753	OG0017725	4
Ha412HOChr00c00052:19875-22831	0	5	0.999934974152226	OG0000073	2
Ha412HOChr00c00094:17514-22075	16.052147	5	0.15602952173489	OG0012448	1
Ha412HOChr00c00094:22759-24734	1.658745	5	0.942842279806223	OG0027696	1
Ha412HOChr00c00111:38350-41301	46.49683	5	0.0347888285593523	OG0001355	8
Ha412HOChr00c00144:571-1748	2.495183	5	0.821048866924603	OG0004398	3
Ha412HOChr00c00155:38073-39958	0	5	0.999902461228338	OG0027662	2
Ha412HOChr00c00169:10608-11357	1.184398	5	0.97675325942062	OG0001552	4
Ha412HOChr00c00169:17696-18564	12.408645	5	0.214195142569171	OG0008793	3
Ha412HOChr00c00180:24700-28108	8.843509	5	0.313099457034171	OG0025445	1
Ha412HOChr00c00180:33306-35423	11.213498	5	0.241733589101668	OG0001114	5
Ha412HOChr00c00192:13065-14928	0	5	0.999869948304451	OG0010040	2
Ha412HOChr00c00198:12281-15173	3.578923	5	0.663036056832591	OG0016636	4
Ha412HOChr00c00203:5390-7671	0	5	0.999837435380564	OG0001142	4
Ha412HOChr00c00207:1-1933	2.346039	5	0.845823714926683	OG0008175	3
Ha412HOChr00c00212:27325-28980	1.446107	5	0.962187469519134	OG0014097	10
Ha412HOChr00c00220:19187-20705	6.654671	5	0.412458952433592	OG0020147	4
Ha412HOChr00c00221:28176-29470	1.816042	5	0.924147348571057	OG0007692	2
Ha412HOChr00c00234:428-1802	16.995686	5	0.144162304516045	OG0004236	4
Ha412HOChr00c00238:5355-14141	199.602493	5	0.00383652501869493	OG0002502	4
Ha412HOChr00c00274:10573-11575	45.959648	5	0.0358292421237442	OG0011465	2
Ha412HOChr00c00279:19409-20721	0	5	0.999804922456677	OG0007919	2
Ha412HOChr00c00298:74-7641	0	5	0.999772409532789	OG0027873	1
Ha412HOChr00c00298:9912-15494	57.506931	5	0.0245797704587574	OG0003169	4
Ha412HOChr00c00327:1386-2519	84.177681	5	0.0142081477387261	OG0017204	1
Ha412HOChr00c00327:3674-4444	0	5	0.999739896608902	OG0003314	7
Ha412HOChr00c00327:4985-8245	6.77601	5	0.40611893227558	OG0003314	7
Ha412HOChr00c00341:16665-18783	10.635519	5	0.256299379003154	OG0022578	2
Ha412HOChr00c00362:6392-8769	1.458266	5	0.961309620574178	OG0014437	2
Ha412HOChr00c00382:1-1527	22.812277	5	0.0973436941184121	OG0002443	4
Ha412HOChr00c00387:13683-16408	3.390912	5	0.68829859869298	OG0022877	3
Ha412HOChr00c00399:1059-3807	0	5	0.999707383685015	OG0022899	3
Ha412HOChr00c00399:8931-12357	2.577918	5	0.807490977663621	OG0022899	3
Ha412HOChr00c00445:2222-13050	1.298961	5	0.971616217446435	OG0007969	9
Ha412HOChr00c00447:1847-2863	0	5	0.999674870761128	OG0001630	2
Ha412HOChr00c00459:11697-13000	5.547907	5	0.48106122183568	OG0000533	4
Ha412HOChr00c00461:1601-3730	4.089913	5	0.607991676691485	OG0001843	4
Ha412HOChr00c00485:8368-11820	19.887112	5	0.117566732776279	OG0027830	2
Ha412HOChr00c00486:2095-2568	52.695736	5	0.0285463471730013	OG0003621	3
Ha412HOChr00c00530:5379-5943	0	5	0.99964235783724	OG0017860	2
Ha412HOChr00c00557:1-908	16.880417	5	0.145202718080437	OG0004699	6
Ha412HOChr00c00584:1-5228	29.038744	5	0.0703254543681113	OG0000660	6
Ha412HOChr00c00589:1110-1994	0	5	0.999609844913353	OG0000519	10
Ha412HOChr00c00589:1602-5049	0	5	0.999577331989466	OG0027185	2
Ha412HOChr00c00615:4149-7558	57.178562	5	0.0248398738498553	OG0001938	6
Ha412HOChr00c00631:1-2618	7.117945	5	0.388464414604805	OG0002722	5
Ha412HOChr00c00661:3541-8641	5.501432	5	0.484897746854375	OG0003985	3
Ha412HOChr00c00698:3066-8004	2.697738	5	0.786747732223559	OG0000255	1
Ha412HOChr00c00706:5686-6671	4.34997	5	0.582956725298306	OG0001169	6
Ha412HOChr00c00717:2437-3281	139.347336	5	0.00712033033130669	OG0016653	6
Ha412HOChr00c00739:755-2618	0	5	0.999544819065579	OG0019682	1
Ha412HOChr00c00782:4956-5201	0	5	0.999512306141691	OG0002078	4
Ha412HOChr00c00813:448-822	5.120943	5	0.515329843612836	OG0027761	2
Ha412HOChr00c00880:983-5599	3.138594	5	0.721364242286309	OG0005810	1
Ha412HOChr00c00881:2192-3692	4.400842	5	0.577982247943558	OG0022851	3
Ha412HOChr00c00934:1147-5301	2.129835	5	0.881230289039893	OG0002079	4
Ha412HOChr00c00944:477-4425	2.597903	5	0.804532301589882	OG0014878	3
