ID	GENE_COORD	GENE_NAME	BIOMART	OG
Medtr0001s0070	Mtrunc_scaffold0001:26889-27512	Medtr0001s0070	MTR_0001s0070	OG0002866
Medtr0001s0100	Mtrunc_scaffold0001:44603-45360	Medtr0001s0100	MTR_0001s0100	OG0020273
Medtr0001s0120	Mtrunc_scaffold0001:49524-50287	Medtr0001s0120	MTR_0001s0120	OG0000531
Medtr0001s0160	Mtrunc_scaffold0001:55962-56354	Medtr0001s0160	MTR_0001s0160	OG0027879
Medtr0001s0190	Mtrunc_scaffold0001:64219-66906	Medtr0001s0190	MTR_0001s0190	OG0002523
Medtr0001s0200	Mtrunc_scaffold0001:67821-69070	Medtr0001s0200	MTR_0001s0200	OG0000032
Medtr0001s0260	Mtrunc_scaffold0001:98683-99566	Medtr0001s0260	MTR_0001s0260	OG0002137
Medtr0001s0360	Mtrunc_scaffold0001:148343-149371	Medtr0001s0360	MTR_0001s0360	OG0000438
Medtr0001s0380	Mtrunc_scaffold0001:158433-159000	Medtr0001s0380	MTR_0001s0380	OG0012803
Medtr0001s0430	Mtrunc_scaffold0001:188782-195705	Medtr0001s0430	MTR_0001s0430	OG0004589
Medtr0001s0490	Mtrunc_scaffold0001:397821-401891	Medtr0001s0490	MTR_0001s0490	OG0007087
Medtr0001s0510	Mtrunc_scaffold0001:406987-408026	Medtr0001s0510	MTR_0001s0510	OG0011528
Medtr0001s0570	Mtrunc_scaffold0001:430833-437206	Medtr0001s0570	MTR_0001s0570	OG0005573
Medtr0001s0580	Mtrunc_scaffold0001:440096-440515	Medtr0001s0580	MTR_0001s0580	OG0006422
Medtr0001s0660	Mtrunc_scaffold0001:502647-507542	Medtr0001s0660	MTR_0001s0660	OG0005799
Medtr0001s0700	Mtrunc_scaffold0001:521769-521972	Medtr0001s0700	MTR_0001s0700	OG0007101
Medtr1g004930	Mtrunc_chr1:689-7332	Medtr1g004930	MTR_1g004930	OG0010239
Medtr1g004960	Mtrunc_chr1:16283-18382	Medtr1g004960	MTR_1g004960	OG0010239
Medtr1g006530	Mtrunc_chr1:28973-29214	Medtr1g006530	MTR_1g006530	OG0010239
Medtr1g004990	Mtrunc_chr1:35910-40554	Medtr1g004990	MTR_1g004990	NA
Medtr1g006490	Mtrunc_chr1:44430-46280	Medtr1g006490	MTR_1g006490	OG0008845
Medtr1g006590	Mtrunc_chr1:46548-50437	Medtr1g006590	MTR_1g006590	OG0008845
Medtr1g006600	Mtrunc_chr1:51361-54977	Medtr1g006600	MTR_1g006600	OG0000370
Medtr1g006605	Mtrunc_chr1:56917-59471	Medtr1g006605	MTR_1g006605	OG0002314
Medtr1g006660	Mtrunc_chr1:70778-71741	Medtr1g006660	MTR_1g006660	OG0000161
Medtr1g006690	Mtrunc_chr1:98846-110219	Medtr1g006690	MTR_1g006690	OG0008469
Medtr1g006695	Mtrunc_chr1:111983-114562	Medtr1g006695	MTR_1g006695	OG0010156
Medtr1g006650	Mtrunc_chr1:120398-121915	Medtr1g006650	MTR_1g006650	OG0000705
Medtr1g006640	Mtrunc_chr1:122482-122736	Medtr1g006640	MTR_1g006640	OG0000185
Medtr1g006620	Mtrunc_chr1:126518-126895	Medtr1g006620	MTR_1g006620	OG0010240
Medtr1g006970	Mtrunc_chr1:127615-127791	Medtr1g006970	MTR_1g006970	OG0020274
Medtr1g006975	Mtrunc_chr1:129008-136403	Medtr1g006975	MTR_1g006975	OG0014615
Medtr1g006990	Mtrunc_chr1:138882-141524	Medtr1g006990	MTR_1g006990	OG0000226
