gene	min_CLR	scan_n	mean_emp_p	orthogroup	ortho_size
Ha412HOChr00c00001:506816-508364	0	5	0.0335876349945507	OG0000076	10
Ha412HOChr00c00005:178995-183602	0	5	0.149377456322864	OG0002901	3
Ha412HOChr00c00005:187163-190878	0	5	1	OG0001938	4
Ha412HOChr00c00005:244375-247827	0	5	0.999966973810231	OG0004684	3
Ha412HOChr00c00005:365003-365674	0	5	0.910036659070643	OG0007745	4
Ha412HOChr00c00007:121560-126750	0	5	0.725882624921563	OG0013115	1
Ha412HOChr00c00008:238425-242683	0	5	0.0821691601439942	OG0001965	5
Ha412HOChr00c00008:3174-7219	0	5	0.244955249512864	OG0002718	3
Ha412HOChr00c00009:165060-166172	0	5	0.0536015059942534	OG0002263	6
Ha412HOChr00c00014:105954-108439	0	5	0.50665477723835	OG0007567	1
Ha412HOChr00c00014:72726-84192	0	5	0.402655305657386	OG0011692	1
Ha412HOChr00c00017:20566-21894	0	5	0.999933947620463	OG0014575	3
Ha412HOChr00c00017:226258-228583	0	5	0.953234915287823	OG0022905	3
Ha412HOChr00c00020:103272-118491	0	5	0.0674725056970177	OG0007302	3
Ha412HOChr00c00020:134200-138522	0	5	0.012087585455266	OG0007302	3
Ha412HOChr00c00022:87974-92878	0	5	0.97949073615377	OG0004287	3
Ha412HOChr00c00023:202277-211362	0	5	0.284784834373658	OG0016676	2
Ha412HOChr00c00040:8151-9465	0	5	0.742032431718353	OG0000533	5
Ha412HOChr00c00041:101616-105136	0	5	0.492387463258364	OG0006870	4
Ha412HOChr00c00041:85802-87938	0	5	0.0260576637273358	OG0017725	3
Ha412HOChr00c00055:53676-55111	0	5	0.999900921430695	OG0002647	2
Ha412HOChr00c00061:9916-11371	0	5	0.999867895240926	OG0005063	4
Ha412HOChr00c00094:17514-22075	0	5	0.0674064533174808	OG0012448	1
Ha412HOChr00c00094:22759-24734	0	5	0.10931668813369	OG0027696	2
Ha412HOChr00c00111:38350-41301	0	5	0.999834869051158	OG0001355	8
Ha412HOChr00c00124:11291-12778	0	5	0.953565177185508	OG0004556	2
Ha412HOChr00c00144:571-1748	0	5	0.334951616631989	OG0004398	2
Ha412HOChr00c00155:38073-39958	0	5	0.0544932131180026	OG0027662	2
Ha412HOChr00c00169:17696-18564	0	5	0.357343373295023	OG0008793	3
Ha412HOChr00c00180:24700-28108	0	5	0.579213316159715	OG0025445	1
Ha412HOChr00c00192:13065-14928	0	5	0.0461375871065755	OG0010040	2
Ha412HOChr00c00207:1-1933	0	5	0.101225271640411	OG0008175	3
Ha412HOChr00c00212:27325-28980	0	5	0.970507612536742	OG0014097	10
Ha412HOChr00c00220:19187-20705	0	5	0.614947653489217	OG0020147	4
Ha412HOChr00c00221:28176-29470	0	5	0.911258628092077	OG0007692	2
Ha412HOChr00c00234:428-1802	0	5	0.165626341688959	OG0004236	4
Ha412HOChr00c00238:5355-14141	0	5	0.0590508273060537	OG0002502	4
Ha412HOChr00c00274:10573-11575	0	5	0.068100003302619	OG0011465	2
Ha412HOChr00c00298:9912-15494	0	5	0.980481521846825	OG0003169	4
Ha412HOChr00c00327:1386-2519	0	5	0.077743650715017	OG0017204	1
Ha412HOChr00c00327:3674-4444	0	5	0.999801842861389	OG0003314	7
Ha412HOChr00c00327:4985-8245	0	5	0.0156213877604941	OG0003314	7
Ha412HOChr00c00341:16665-18783	0	5	0.999768816671621	OG0022578	2
Ha412HOChr00c00362:6392-8769	0	5	0.645595957594372	OG0014437	2
Ha412HOChr00c00382:1-1527	0	5	0.0125169259222563	OG0002443	4
Ha412HOChr00c00387:13683-16408	0	5	0.968426962581327	OG0022877	3
Ha412HOChr00c00399:1059-3807	0	5	0.999735790481852	OG0022899	3
Ha412HOChr00c00399:8931-12357	0	5	0.872485881303874	OG0022899	3
Ha412HOChr00c00447:1847-2863	0	5	0.208857624095908	OG0001630	2
Ha412HOChr00c00455:4613-5089	0	5	0.974867069586182	OG0002970	4
Ha412HOChr00c00459:11697-13000	0	5	0.470788335149774	OG0000533	5
Ha412HOChr00c00461:1601-3730	0	5	0.973645100564748	OG0001843	5
Ha412HOChr00c00485:8368-11820	0	5	0.0478879751643053	OG0027830	2
Ha412HOChr00c00486:2095-2568	0	5	0.0895340004623667	OG0003621	3
Ha412HOChr00c00530:5379-5943	0	5	0.974008388652201	OG0017860	2
Ha412HOChr00c00557:1-908	0	5	0.0433633871660227	OG0004699	6
Ha412HOChr00c00584:1-5228	0	5	0.13636513755408	OG0000660	6
Ha412HOChr00c00631:1-2618	0	5	0.0692889461342845	OG0002722	5
Ha412HOChr00c00698:3066-8004	0	5	0.150269163446613	OG0000255	1
Ha412HOChr00c00706:5686-6671	0	5	0.816968856303048	OG0001169	6
Ha412HOChr00c00813:448-822	0	5	0.999702764292084	OG0027761	1
Ha412HOChr00c00880:983-5599	0	5	0.999669738102315	OG0005810	1
Ha412HOChr00c00881:2192-3692	0	5	0.789193830707751	OG0022851	3
Ha412HOChr00c00934:1147-5301	0	5	0.267743320453119	OG0002079	3
Ha412HOChr00c00944:477-4425	0	5	0.96684170547244	OG0014878	2
Ha412HOChr00c00997:232-1074	0	5	0.999636711912547	OG0014881	3
Ha412HOChr00c01149:1167-2632	0	5	0.516562634168896	OG0027707	2
Ha412HOChr00c01226:1055-2336	0	5	0.142772218369167	OG0014396	1
Ha412HOChr00c01226:11-1052	0	5	0.76478747646884	OG0014881	3
Ha412HOChr00c01236:1193-2584	0	5	0.0151590211037353	OG0022907	3
Ha412HOChr00c01246:1432-2246	0	5	0.846130981868622	OG0022863	3
Ha412HOChr00c01457:694-1849	0	5	0.5317546814624	OG0015807	5
Ha412HOChr00c01481:73-1230	0	5	0.999603685722778	OG0001537	4
Ha412HOChr00c01503:1-2014	0	5	0.18940519832227	OG0021835	1
Ha412HOChr00c01662:512-1819	0	5	0.97205984345586	OG0015807	5
Ha412HOChr00c01712:1-1274	0	5	0.0164140163149377	OG0027037	2
Ha412HOChr00c01888:126-1634	0	5	0.0229201756993296	OG0003599	4
Ha412HOChr00c02064:609-1364	0	5	0.433931107368143	OG0013980	1
Ha412HOChr00c02126:459-1427	0	5	0.372832656296443	OG0000890	6
Ha412HOChr00c02201:1-1471	0	5	0.90901284718782	OG0008264	1
Ha412HOChr00c02318:438-689	0	5	0.99957065953301	OG0017279	2
Ha412HOChr00c02463:1-1373	0	5	0.842993493840616	OG0024536	1
Ha412HOChr00c02657:13-711	0	5	0.0394002443938043	OG0002717	4
Ha412HOChr00c02844:1-402	0	5	0.532976650483834	OG0000903	5
Ha412HOChr00c03128:1-873	0	5	0.962647379371842	OG0002008	6
Ha412HOChr00c03269:1-1182	0	5	0.468542554245517	OG0027877	1
Ha412HOChr00c03475:1-819	0	5	0.298226493609432	OG0002392	4
Ha412HOChr00c04267:1-420	0	5	0.901482875920605	OG0007935	1
Ha412HOChr00c04482:211-1027	0	5	0.999537633343241	OG0004555	3
Ha412HOChr00c05184:3-965	0	5	0.977773374285809	OG0002196	4
Ha412HOChr00c05505:267-866	0	5	0.248422999438555	OG0001152	6
Ha412HOChr00c07095:1-519	0	5	0.876085735988639	OG0017853	5
Ha412HOChr00c07215:1-479	0	5	0.553584992899369	OG0002252	5
Ha412HOChr00c07800:316-804	0	5	0.69757918028997	OG0002867	9
Ha412HOChr00c09275:1-671	0	5	0.98015125994914	OG0010079	2
Ha412HOChr00c12214:18-595	0	5	0.972522210112619	OG0010282	6
Ha412HOChr00c15259:1-569	0	5	0.947917698735097	OG0022314	1
Ha412HOChr01:100015321-100021145	0	5	0.405825819875161	OG0005571	1
Ha412HOChr01:100574083-100575248	0	5	0.79358631394696	OG0000314	7
Ha412HOChr01:100928619-100930738	0	5	0.0621222629545229	OG0006124	3
Ha412HOChr01:101202030-101206538	0	5	0.739423362726642	OG0009438	1
Ha412HOChr01:10171628-10172339	0	5	0.441956471481885	OG0014595	8
Ha412HOChr01:101773069-101779363	0	5	0.162653984609796	OG0003351	2
Ha412HOChr01:101916391-101920558	0	5	0.208659466957297	OG0015799	2
Ha412HOChr01:101941690-101949551	0	5	0.0810132435020972	OG0013207	1
Ha412HOChr01:101951935-101955754	0	5	0.35196010436276	OG0012984	1
Ha412HOChr01:10200439-10203596	0	5	0.778460319032993	OG0026902	2
Ha412HOChr01:10203598-10204322	0	5	0.038904851547277	OG0026903	2
Ha412HOChr01:102235852-102238293	0	5	0.076521681693583	OG0005123	1
Ha412HOChr01:102240291-102245088	0	5	0.722712110703788	OG0004991	2
Ha412HOChr01:102452048-102469793	0	5	0.272763301297929	OG0003454	2
Ha412HOChr01:102470785-102472532	0	5	0.278906172594868	OG0016331	4
Ha412HOChr01:102487944-102494763	0	5	0.840219293900063	OG0011771	1
Ha412HOChr01:102581461-102587216	0	5	0.627860893688695	OG0007680	2
Ha412HOChr01:102649771-102656049	0	5	0.0420423395752832	OG0026716	1
Ha412HOChr01:102858341-102861653	0	5	0.82479606327818	OG0003746	1
Ha412HOChr01:102863747-102866960	0	5	0.369563063509363	OG0006127	2
Ha412HOChr01:102919232-102921612	0	5	0.978532976650484	OG0017776	2
Ha412HOChr01:102928365-102929036	0	5	0.260345453944978	OG0015602	3
Ha412HOChr01:103055235-103057302	0	5	0.915485980382443	OG0003187	3
Ha412HOChr01:103101662-103118853	0	5	0.215066547772383	OG0004301	2
Ha412HOChr01:103656670-103674209	0	5	0.775355857194755	OG0004301	2
Ha412HOChr01:103794903-103795518	0	5	0.262888470557152	OG0001948	2
Ha412HOChr01:104002167-104003393	0	5	0.093497143234585	OG0009484	2
Ha412HOChr01:10405756-10409951	0	5	0.236434492552594	OG0004819	2
Ha412HOChr01:104124004-104131166	0	5	0.790250668780343	OG0010810	2
Ha412HOChr01:104144571-104150504	0	5	0.87955348591433	OG0001406	4
Ha412HOChr01:104151262-104154100	0	5	0.466032563823112	OG0010804	1
Ha412HOChr01:104715690-104718420	0	5	0.0283694970111298	OG0001751	3
Ha412HOChr01:104875349-104878420	0	5	0.734172198553453	OG0009418	1
Ha412HOChr01:104881478-104890852	0	5	0.444268304765679	OG0001750	3
Ha412HOChr01:10493031-10496675	0	5	0.735063905677202	OG0004818	4
Ha412HOChr01:104998110-105002615	0	5	0.951451501040325	OG0001887	6
Ha412HOChr01:105797613-105799150	0	5	0.464810594801678	OG0008380	1
Ha412HOChr01:106053474-106064997	0	5	0.534694012351795	OG0003680	3
Ha412HOChr01:10650483-10661088	0	5	0.533240860001982	OG0006589	2
Ha412HOChr01:10662374-10667607	0	5	0.175071831962746	OG0004418	1
Ha412HOChr01:10671639-10678298	0	5	0.159978863238548	OG0009216	2
Ha412HOChr01:10682244-10687873	0	5	0.167806070213679	OG0013973	1
Ha412HOChr01:10688671-10690253	0	5	0.762640774133888	OG0000748	5
Ha412HOChr01:106933682-106944552	0	5	0.488721556194062	OG0000869	3
Ha412HOChr01:107311286-107323133	0	5	0.858086462564814	OG0000869	3
Ha412HOChr01:107451397-107457841	0	5	0.305855543445953	OG0008318	1
Ha412HOChr01:107653559-107658057	0	5	0.189339145942733	OG0003146	3
Ha412HOChr01:107662253-107667144	0	5	0.796954985303346	OG0014597	9
Ha412HOChr01:107672974-107680235	0	5	0.447372766603917	OG0009565	1
Ha412HOChr01:107723875-107727127	0	5	0.0911522837610225	OG0009413	1
Ha412HOChr01:10772770-10779278	0	5	0.384589979854024	OG0008394	1
Ha412HOChr01:107747651-107750930	0	5	0.613560553518941	OG0009781	2
Ha412HOChr01:10781535-10783095	0	5	0.0318702731265894	OG0005743	3
Ha412HOChr01:10784875-10786079	0	5	0.867036559992074	OG0005743	3
Ha412HOChr01:107961887-107970872	0	5	0.548928300142013	OG0009254	1
Ha412HOChr01:108576128-108579207	0	5	0.685095280557482	OG0002626	3
Ha412HOChr01:109196558-109196860	0	5	0.195382938670366	OG0008304	2
Ha412HOChr01:109224499-109228199	0	5	0.67356914032828	OG0001131	5
Ha412HOChr01:109296399-109299208	0	5	0.393044684434757	OG0001131	5
Ha412HOChr01:1094685-1095215	0	5	0.463786782918855	OG0011497	2
Ha412HOChr01:109777510-109783315	0	5	0.716602265596618	OG0009711	1
Ha412HOChr01:109795246-109802284	0	5	0.62819115558638	OG0004050	2
Ha412HOChr01:109803429-109803991	0	5	0.132732256679547	OG0013890	1
Ha412HOChr01:109805691-109808121	0	5	0.31899996697381	OG0007883	1
Ha412HOChr01:109813664-109820047	0	5	0.745103867366822	OG0005883	1
Ha412HOChr01:1098313-1100904	0	5	0.347072228277024	OG0007593	2
Ha412HOChr01:110072522-110073840	0	5	0.597344694342614	OG0020108	3
Ha412HOChr01:110072605-110073914	0	5	0.597311668152845	OG0015743	6
Ha412HOChr01:1101039-1102214	0	5	0.827900525116417	OG0014992	1
Ha412HOChr01:110379332-110383193	0	5	0.0118894283166551	OG0017778	5
Ha412HOChr01:110421969-110423887	0	5	0.97381023151359	OG0022545	3
Ha412HOChr01:110468363-110472407	0	5	0.312295650450807	OG0002543	3
Ha412HOChr01:110482175-110483730	0	5	0.862842233891476	OG0004652	3
Ha412HOChr01:110483732-110485452	0	5	0.838733115360481	OG0019976	2
Ha412HOChr01:110495677-110498595	0	5	0.00452458799828264	OG0022545	3
Ha412HOChr01:110567831-110575474	0	5	0.258958353974702	OG0001400	3
Ha412HOChr01:110680204-110685328	0	5	0.519006572211764	OG0012505	1
Ha412HOChr01:110754190-110757700	0	5	0.0551207107236038	OG0002494	4
Ha412HOChr01:110889779-110893380	0	5	0.871396017041514	OG0013140	3
Ha412HOChr01:11115263-11122402	0	5	0.313616698041547	OG0002780	2
Ha412HOChr01:111195047-111199362	0	5	0.861488160110968	OG0013140	3
Ha412HOChr01:1112616-1116435	0	5	0.76521681693583	OG0003108	3
Ha412HOChr01:111372336-111374375	0	5	0.848442815152416	OG0013140	3
Ha412HOChr01:111532648-111543720	0	5	0.610323986921629	OG0001808	3
Ha412HOChr01:11199181-11204350	0	5	0.0974602860068034	OG0008336	2
Ha412HOChr01:112186554-112190612	0	5	0.459691535387562	OG0008551	1
Ha412HOChr01:11221259-11226574	0	5	0.999504607153473	OG0026904	2
Ha412HOChr01:112680109-112686057	0	5	0.682122923478318	OG0009419	3
Ha412HOChr01:112717442-112720004	0	5	0.124442683047657	OG0022546	1
Ha412HOChr01:112788793-112790104	0	5	0.111628521417484	OG0020109	4
Ha412HOChr01:112793655-112797273	0	5	0.721721325010733	OG0003158	2
Ha412HOChr01:112929604-112931853	0	5	0.23544370685954	OG0004304	3
Ha412HOChr01:112984826-112986677	0	5	0.842002708147561	OG0014032	1
Ha412HOChr01:112987333-112988264	0	5	0.783447273688035	OG0012899	1
Ha412HOChr01:112990502-112996322	0	5	0.759404207536577	OG0003982	1
Ha412HOChr01:113221234-113224043	0	5	0.714059248984445	OG0002191	5
Ha412HOChr01:113224770-113226738	0	5	0.025397139931966	OG0017780	2
Ha412HOChr01:113406044-113409928	0	5	0.377588427623105	OG0010419	1
Ha412HOChr01:113410975-113418299	0	5	0.476898180256944	OG0006969	3
Ha412HOChr01:113622593-113624006	0	5	0.749397272036725	OG0001307	5
Ha412HOChr01:113622744-113623987	0	5	0.673767297466891	OG0022547	1
Ha412HOChr01:113649317-113651994	0	5	0.296905446018693	OG0010326	1
Ha412HOChr01:113716496-113719587	0	5	0.0825985006109845	OG0022548	3
Ha412HOChr01:11372541-11377236	0	5	0.682321080616929	OG0002187	3
Ha412HOChr01:113790094-113794351	0	5	0.729317348657485	OG0022549	3
Ha412HOChr01:11380646-11386767	0	5	0.433138478813699	OG0004113	3
Ha412HOChr01:113862194-113871261	0	5	0.0521153274546716	OG0003324	3
Ha412HOChr01:113895736-113899916	0	5	0.928068958684237	OG0005135	3
Ha412HOChr01:113908707-113912740	0	5	0.267214901416824	OG0005135	3
Ha412HOChr01:113972551-113984482	0	5	0.647280293272565	OG0010098	1
Ha412HOChr01:114109285-114112187	0	5	0.701542323062188	OG0001571	4
Ha412HOChr01:114286815-114288409	0	5	0.00743089269790944	OG0005937	2
Ha412HOChr01:114291680-114298447	0	5	0.277849334522276	OG0000809	7
Ha412HOChr01:114330529-114334564	0	5	0.845404405693715	OG0005937	2
Ha412HOChr01:114336103-114337868	0	5	0.25813269923049	OG0010514	1
Ha412HOChr01:114339342-114342468	0	5	0.842729284322468	OG0003786	3
Ha412HOChr01:114603463-114606672	0	5	0.82261633475346	OG0001789	4
Ha412HOChr01:114607672-114611062	0	5	0.580369232801612	OG0010642	1
Ha412HOChr01:114689516-114694188	0	5	0.187819941213382	OG0005659	3
Ha412HOChr01:11498733-11501332	0	5	0.785329766504838	OG0000087	9
Ha412HOChr01:115389604-115390569	0	5	0.802107070907229	OG0001377	5
Ha412HOChr01:115595252-115597219	0	5	0.808910465999538	OG0001377	5
Ha412HOChr01:115673479-115676423	0	5	0.183790746061627	OG0002457	2
Ha412HOChr01:115678247-115696261	0	5	0.283562865352224	OG0001601	4
Ha412HOChr01:115770391-115779110	0	5	0.488094058588461	OG0006683	2
Ha412HOChr01:115974061-115976684	0	5	0.759007893259355	OG0007392	2
Ha412HOChr01:116164647-116171854	0	5	0.64761055517025	OG0000353	10
Ha412HOChr01:116167591-116172587	0	5	0.416394200601077	OG0008530	1
Ha412HOChr01:116243049-116246500	0	5	0.492321410878827	OG0013866	1
Ha412HOChr01:116252995-116261772	0	5	0.231546616466858	OG0007457	2
Ha412HOChr01:116497135-116500332	0	5	0.447670002311833	OG0001676	5
Ha412HOChr01:116728810-116730857	0	5	0.0906899171042637	OG0001276	2
Ha412HOChr01:116731732-116735495	0	5	0.25899138016447	OG0010764	1
Ha412HOChr01:117094350-117097770	0	5	0.643581360018495	OG0019753	1
Ha412HOChr01:117135560-117139011	0	5	0.808282968393936	OG0004467	1
Ha412HOChr01:117148047-117157207	0	5	0.212127216882988	OG0008448	2
Ha412HOChr01:117161054-117162382	0	5	0.514415931833944	OG0000745	3
Ha412HOChr01:117164190-117168803	0	5	0.878199412133822	OG0015426	1
Ha412HOChr01:117237132-117238347	0	5	0.121338221209419	OG0000384	1
Ha412HOChr01:117341683-117344035	0	5	0.650384755110803	OG0021659	2
Ha412HOChr01:117381728-117383385	0	5	0.619175005779583	OG0004891	3
Ha412HOChr01:117466326-117467510	0	5	0.156808349020773	OG0026945	2
Ha412HOChr01:117469291-117470769	0	5	0.49443508702401	OG0007483	2
Ha412HOChr01:117480106-117481939	0	5	0.357310347105254	OG0001575	2
Ha412HOChr01:117482579-117495251	0	5	0.313880907559695	OG0012265	1
Ha412HOChr01:117628925-117636290	0	5	0.480960401598468	OG0009843	2
Ha412HOChr01:11770063-11774009	0	5	0.138379735129958	OG0000144	8
Ha412HOChr01:118042551-118044331	0	5	0.844050331913207	OG0022550	1
Ha412HOChr01:118042597-118043364	0	5	0.617028303444632	OG0003204	5
Ha412HOChr01:118266953-118274541	0	5	0.723537765448	OG0020112	1
Ha412HOChr01:118309861-118330989	0	5	0.288781003335645	OG0000773	3
Ha412HOChr01:118512476-118518450	0	5	0.763334324119026	OG0002448	8
Ha412HOChr01:118624675-118633140	0	5	0.775289804815218	OG0001204	4
Ha412HOChr01:118643423-118643822	0	5	0.777139271442254	OG0026946	2
Ha412HOChr01:118644008-118657015	0	5	0.453878925988309	OG0008201	2
Ha412HOChr01:118697986-118704513	0	5	0.776676904785495	OG0001037	5
Ha412HOChr01:118814875-118816078	0	5	0.144621684996202	OG0003042	2
Ha412HOChr01:119043291-119048822	0	5	0.400541629512203	OG0003259	5
Ha412HOChr01:119151726-119152822	0	5	0.558406816605568	OG0003853	3
Ha412HOChr01:119225763-119228559	0	5	0.0958089765183791	OG0003007	3
Ha412HOChr01:119247125-119260983	0	5	0.048548498959675	OG0001492	10
Ha412HOChr01:119491268-119499514	0	5	0.0192542686350276	OG0001172	7
Ha412HOChr01:119532346-119536919	0	5	0.449684599887711	OG0001052	4
Ha412HOChr01:119549066-119552596	0	5	0.331913207173288	OG0013740	1
Ha412HOChr01:119578012-119594101	0	5	0.347006175897487	OG0008855	3
Ha412HOChr01:119775264-119775923	0	5	0.180091812807556	OG0017781	3
Ha412HOChr01:119804155-119809695	0	5	0.88239373823442	OG0007849	2
Ha412HOChr01:119934769-119936009	0	5	0.162488853660953	OG0001470	8
Ha412HOChr01:119940776-119943428	0	5	0.69321972324053	OG0026947	2
Ha412HOChr01:120080693-120081891	0	5	0.385944053634532	OG0001470	8
Ha412HOChr01:120106847-120108725	0	5	0.319297202681727	OG0001022	2
Ha412HOChr01:120251865-120253783	0	5	0.856104891178705	OG0001829	3
Ha412HOChr01:12034214-12034540	0	5	0.958618184220086	OG0026906	2
Ha412HOChr01:120346180-120350994	0	5	0.0837544172528815	OG0000916	1
Ha412HOChr01:120365802-120366631	0	5	0.945704944020608	OG0002269	5
Ha412HOChr01:120366980-120367444	0	5	0.245021301892401	OG0000186	8
Ha412HOChr01:120372054-120372866	0	5	0.681759635390865	OG0000907	1
