chr	start	end	cM_start	cM_end	cM_Mb
Ha412HOChr01	1	1000001	7.15009376399047	7.30320674883125	0.153112984840774
Ha412HOChr01	1000001	2000001	7.30320674883125	7.45627039010282	0.153063641271577
Ha412HOChr01	2000001	3000001	7.45627039010282	7.60919413265285	0.152923742550031
Ha412HOChr01	3000001	4000001	7.60919413265285	7.76187063243018	0.152676499777328
Ha412HOChr01	4000001	5000001	7.76187063243018	7.91416960929654	0.152298976866353
Ha412HOChr01	5000001	6000001	7.91416960929654	8.06595547494043	0.151785865643892
Ha412HOChr01	6000001	7000001	8.06595547494043	8.21709434444466	0.151138869504235
Ha412HOChr01	7000001	8000001	8.21709434444466	8.3674553294522	0.150360985007536
Ha412HOChr01	8000001	9000001	8.3674553294522	8.51691782445242	0.14946249500022
Ha412HOChr01	9000001	10000001	8.51691782445242	8.66536823259981	0.148450408147394
Ha412HOChr01	10000001	11000001	8.66536823259981	8.81271070886295	0.147342476263139
Ha412HOChr01	11000001	12000001	8.81271070886295	8.95885997984641	0.146149270983456
Ha412HOChr01	12000001	13000001	8.95885997984641	9.10375530688463	0.144895327038226
Ha412HOChr01	13000001	14000001	9.10375530688463	9.24734787052583	0.143592563641201
Ha412HOChr01	14000001	15000001	9.24734787052583	9.38961199344332	0.142264122917489
Ha412HOChr01	15000001	16000001	9.38961199344332	9.53053293376561	0.140920940322289
Ha412HOChr01	16000001	17000001	9.53053293376561	9.67011654931691	0.139583615551297
Ha412HOChr01	17000001	18000001	9.67011654931691	9.80837846165083	0.138261912333922
Ha412HOChr01	18000001	19000001	9.80837846165083	9.94535274754294	0.136974285892109
Ha412HOChr01	19000001	20000001	9.94535274754294	10.0810829410683	0.135730193525317
Ha412HOChr01	20000001	21000001	10.0810829410683	10.2156319502778	0.134549009209504
Ha412HOChr01	21000001	22000001	10.2156319502778	10.3490722217156	0.133440271437845
Ha412HOChr01	22000001	23000001	10.3490722217156	10.4814949819226	0.132422760207005
Ha412HOChr01	23000001	24000001	10.4814949819226	10.6130002572237	0.131505275301135
Ha412HOChr01	24000001	25000001	10.6130002572237	10.7437044930838	0.130704235860058
Ha412HOChr01	25000001	26000001	10.7437044930838	10.8737318168417	0.130027323757945
Ha412HOChr01	26000001	27000001	10.8737318168417	11.0032206641934	0.129488847351636
Ha412HOChr01	27000001	28000001	11.0032206641934	11.1323160876015	0.129095423408119
Ha412HOChr01	28000001	29000001	11.1323160876015	11.2611752982401	0.128859210638563
Ha412HOChr01	29000001	30000001	11.2611752982401	11.3899610565728	0.12878575833278
Ha412HOChr01	30000001	31000001	11.3899610565728	11.5188461615119	0.12888510493906
Ha412HOChr01	31000001	32000001	11.5188461615119	11.6480079006638	0.12916173915192
Ha412HOChr01	32000001	33000001	11.6480079006638	11.7776314779651	0.129623577301272
Ha412HOChr01	33000001	34000001	11.7776314779651	11.9079055235321	0.130274045566985
Ha412HOChr01	34000001	35000001	11.9079055235321	12.0390244558707	0.131118932338634
Ha412HOChr01	35000001	36000001	12.0390244558707	12.1711850437596	0.132160587888892
Ha412HOChr01	36000001	37000001	12.1711850437596	12.3045876686785	0.133402624918862
Ha412HOChr01	37000001	38000001	12.3045876686785	12.4394339836899	0.134846315011403
Ha412HOChr01	38000001	39000001	12.4394339836899	12.5759271154868	0.136493131796881
Ha412HOChr01	39000001	40000001	12.5759271154868	12.7142704022893	0.138343286802561
Ha412HOChr01	40000001	41000001	12.7142704022893	12.8546662173904	0.140395815101094
Ha412HOChr01	41000001	42000001	12.8546662173904	12.9973154275782	0.142649210187786
Ha412HOChr01	42000001	43000001	12.9973154275782	13.1424174452357	0.145102017657454
Ha412HOChr01	43000001	44000001	13.1424174452357	13.2901672147494	0.147749769513732
Ha412HOChr01	44000001	45000001	13.2901672147494	13.4407568959915	0.150589681242094
Ha412HOChr01	45000001	46000001	13.4407568959915	13.5943719787723	0.153615082780791
Ha412HOChr01	46000001	47000001	13.5943719787723	13.7511939744252	0.156821995652924
Ha412HOChr01	47000001	48000001	13.7511939744252	13.9113951504378	0.160201176012633
Ha412HOChr01	48000001	49000001	13.9113951504378	14.0751425011307	0.163747350692907
Ha412HOChr01	49000001	50000001	14.0751425011307	14.2425911720023	0.167448670871579
Ha412HOChr01	50000001	51000001	14.2425911720023	14.4138896981411	0.171298526138743
Ha412HOChr01	51000001	52000001	14.4138896981411	14.589172021818	0.175282323676914
Ha412HOChr01	52000001	53000001	14.589172021818	14.7685640737772	0.179392051959253
Ha412HOChr01	53000001	54000001	14.7685640737772	14.952174331473	0.183610257695817
Ha412HOChr01	54000001	55000001	14.952174331473	15.140101790993	0.187927459519967
Ha412HOChr01	55000001	56000001	15.140101790993	15.332424976248	0.192323185255034
Ha412HOChr01	56000001	57000001	15.332424976248	15.5292114041233	0.196786427875217
Ha412HOChr01	57000001	58000001	15.5292114041233	15.7305050355773	0.201293631454011
Ha412HOChr01	58000001	59000001	15.7305050355773	15.9363371883427	0.205832152765451
Ha412HOChr01	59000001	60000001	15.9363371883427	16.1467121631749	0.210374974832211
Ha412HOChr01	60000001	61000001	16.1467121631749	16.3616211154265	0.214908952251541
Ha412HOChr01	61000001	62000001	16.3616211154265	16.5810296358163	0.219408520389806
Ha412HOChr01	62000001	63000001	16.5810296358163	16.8048913615605	0.223861725744211
Ha412HOChr01	63000001	64000001	16.8048913615605	17.0331376804977	0.228246318937213
Ha412HOChr01	64000001	65000001	17.0331376804977	17.2656884939763	0.232550813478611
Ha412HOChr01	65000001	66000001	17.2656884939763	17.5024400067615	0.236751512785222
Ha412HOChr01	66000001	67000001	17.5024400067615	17.743277645162	0.240837638400503
Ha412HOChr01	67000001	68000001	17.743277645162	17.9880674182437	0.244789773081624
Ha412HOChr01	68000001	69000001	17.9880674182437	18.2366675664174	0.248600148173701
Ha412HOChr01	69000001	70000001	18.2366675664174	18.4889246727173	0.252257106299972
Ha412HOChr01	70000001	71000001	18.4889246727173	18.744678931434	0.25575425871666
Ha412HOChr01	71000001	72000001	18.744678931434	19.0037566392593	0.259077707825345
Ha412HOChr01	72000001	73000001	19.0037566392593	19.2659766878763	0.262220048616957
Ha412HOChr01	73000001	74000001	19.2659766878763	19.5311422465299	0.265165558653564
Ha412HOChr01	74000001	75000001	19.5311422465299	19.7990522391562	0.267909992626315
Ha412HOChr01	75000001	76000001	19.7990522391562	20.0695043308938	0.270452091737628
Ha412HOChr01	76000001	77000001	20.0695043308938	20.3423008335883	0.272796502694494
Ha412HOChr01	77000001	78000001	20.3423008335883	20.6172639047106	0.274963071122336
Ha412HOChr01	78000001	79000001	20.6172639047106	20.8942267882792	0.27696288356853
Ha412HOChr01	79000001	80000001	20.8942267882792	21.1730472288763	0.27882044059713
Ha412HOChr01	80000001	81000001	21.1730472288763	21.453593076949	0.280545848072716
Ha412HOChr01	81000001	82000001	21.453593076949	21.7357540236673	0.282160946718307
Ha412HOChr01	82000001	83000001	21.7357540236673	22.0194474122401	0.2836933885728
Ha412HOChr01	83000001	84000001	22.0194474122401	22.3046048094251	0.285157397184982
Ha412HOChr01	84000001	85000001	22.3046048094251	22.5911910048598	0.286586195434662
Ha412HOChr01	85000001	86000001	22.5911910048598	22.8791856953294	0.287994690469663
Ha412HOChr01	86000001	87000001	22.8791856953294	23.1685949833309	0.289409288001448
Ha412HOChr01	87000001	88000001	23.1685949833309	23.4594372638863	0.290842280555449
Ha412HOChr01	88000001	89000001	23.4594372638863	23.7517536964082	0.292316432521869
Ha412HOChr01	89000001	90000001	23.7517536964082	24.0455967482394	0.293843051831217
Ha412HOChr01	90000001	91000001	24.0455967482394	24.3410413540548	0.295444605815437
Ha412HOChr01	91000001	92000001	24.3410413540548	24.6381742355925	0.297132881537625
Ha412HOChr01	92000001	93000001	24.6381742355925	24.9371067955109	0.29893255991847
Ha412HOChr01	93000001	94000001	24.9371067955109	25.2379646448121	0.300857849301202
Ha412HOChr01	94000001	95000001	25.2379646448121	25.5409055469503	0.302940902138172
Ha412HOChr01	95000001	96000001	25.5409055469503	25.8461034258915	0.305197878941183
Ha412HOChr01	96000001	97000001	25.8461034258915	26.1537646951967	0.307661269305257
Ha412HOChr01	97000001	98000001	26.1537646951967	26.4641114751545	0.310346779957776
Ha412HOChr01	98000001	99000001	26.4641114751545	26.7773962233679	0.313284748213345
Ha412HOChr01	99000001	100000001	26.7773962233679	27.0938853629018	0.31648913953391
