gene	min_CLR	scan_n	mean_emp_p	orthogroup	ortho_size
Ha412HOChr00c00001:218888-220273	0	2	1	OG0000227	3
Ha412HOChr00c00001:267542-270512	0	3	0.999968300259938	OG0014594	8
Ha412HOChr00c00005:178995-183602	5.63597	6	0.0101122170798199	OG0002901	3
Ha412HOChr00c00005:187163-190878	42.81897	5	0.0491662968363659	OG0001938	6
Ha412HOChr00c00005:239676-240659	19.061272	2	0.0701198250174349	OG0004398	3
Ha412HOChr00c00005:244375-247827	7.215591	4	0.223102770557281	OG0004684	3
Ha412HOChr00c00005:365003-365674	18.164358	2	0.274900145818804	OG0007745	4
Ha412HOChr00c00007:121560-126750	8.054513	6	0.00586445191149433	OG0013115	1
Ha412HOChr00c00008:238425-242683	0	5	0.623502187282064	OG0001965	7
Ha412HOChr00c00008:3174-7219	0	1	0.999936600519876	OG0002718	3
Ha412HOChr00c00008:91540-105926	1.740629	15	0.937551512077601	OG0001965	7
Ha412HOChr00c00009:165060-166172	0	2	0.339948012426298	OG0002263	6
Ha412HOChr00c00014:105954-108439	0	4	0.999904900779814	OG0007567	1
Ha412HOChr00c00014:72726-84192	7.176399	12	0.0074494389146009	OG0011692	1
Ha412HOChr00c00017:20566-21894	0	2	0.999873201039752	OG0014575	3
Ha412HOChr00c00017:73721-74431	0	2	0.999841501299689	OG0027853	2
Ha412HOChr00c00017:75262-83739	0	10	0.999809801559627	OG0000332	3
Ha412HOChr00c00017:80258-80941	0	2	0.999778101819565	OG0027853	2
Ha412HOChr00c00020:103272-118491	2.566827	16	0.405471375134724	OG0007302	3
Ha412HOChr00c00020:134200-138522	4.340395	5	0.870728460026628	OG0007302	3
Ha412HOChr00c00021:69116-80455	0	13	0.999746402079503	OG0020251	4
Ha412HOChr00c00022:2190-3027	0	2	0.999714702339441	OG0022537	3
Ha412HOChr00c00022:87974-92878	22.934498	6	0.320452672288087	OG0004287	5
Ha412HOChr00c00023:143797-147565	0	5	0.999683002599379	OG0027791	2
Ha412HOChr00c00023:182563-184516	0	3	0.999651302859317	OG0000227	3
Ha412HOChr00c00023:186746-193128	0	8	0.999619603119254	OG0016676	5
Ha412HOChr00c00023:202277-211362	0	6	0.90778545615926	OG0016676	5
Ha412HOChr00c00039:89592-91738	0	3	0.999587903379192	OG0008058	2
Ha412HOChr00c00041:101616-105136	17.688002	5	0.154694731503202	OG0006870	4
Ha412HOChr00c00041:83685-84428	3.500932	2	0.885532238635643	OG0017725	4
Ha412HOChr00c00041:85802-87938	15.861753	3	0.424459519431941	OG0017725	4
Ha412HOChr00c00052:19875-22831	0	4	0.0530970646040702	OG0000073	2
