gene	rec_mean	orthogroup	freq
Ha412HOChr01:100015321-100021145	0.403054800874694	OG0005571	1
Ha412HOChr01:100574083-100575248	0.403021668544165	OG0000314	7
Ha412HOChr01:100928619-100930738	0.402988536213637	OG0006124	3
Ha412HOChr01:101202030-101206538	0.408157179776025	OG0009438	1
Ha412HOChr01:10171628-10172339	0.208866211649327	OG0014595	8
Ha412HOChr01:101773069-101779363	0.408124047445497	OG0003351	2
Ha412HOChr01:101916391-101920558	0.408090915114969	OG0015799	2
Ha412HOChr01:101941690-101949551	0.408057782784441	OG0013207	1
Ha412HOChr01:101951935-101955754	0.408024650453913	OG0012984	1
Ha412HOChr01:10200439-10203596	0.208833079318799	OG0026902	2
Ha412HOChr01:10203598-10204322	0.208799946988271	OG0026903	2
Ha412HOChr01:102235852-102238293	0.41180173613412	OG0005123	1
Ha412HOChr01:102240291-102245088	0.411768603803592	OG0004991	2
Ha412HOChr01:102452048-102469793	0.411735471473063	OG0003454	2
Ha412HOChr01:102470785-102472532	0.411702339142535	OG0016331	4
Ha412HOChr01:102487944-102494763	0.411669206812007	OG0011771	1
Ha412HOChr01:102581461-102587216	0.411636074481479	OG0007680	2
Ha412HOChr01:102649771-102656049	0.411602942150951	OG0026716	1
Ha412HOChr01:102858341-102861653	0.411569809820423	OG0003746	1
Ha412HOChr01:102863747-102866960	0.411536677489895	OG0006127	2
Ha412HOChr01:102919232-102921612	0.411503545159366	OG0017776	2
Ha412HOChr01:102928365-102929036	0.411470412828838	OG0015602	3
Ha412HOChr01:103055235-103057302	0.416009542111192	OG0003187	3
Ha412HOChr01:103101662-103118853	0.415976409780664	OG0004301	2
Ha412HOChr01:103656670-103674209	0.415943277450136	OG0004301	2
Ha412HOChr01:103794903-103795518	0.415910145119608	OG0001948	2
Ha412HOChr01:104002167-104003393	0.422039626267312	OG0009484	2
Ha412HOChr01:10405756-10409951	0.208766814657743	OG0004819	2
Ha412HOChr01:104124004-104131166	0.422006493936784	OG0010810	2
Ha412HOChr01:104144571-104150504	0.421973361606255	OG0001406	4
Ha412HOChr01:104151262-104154100	0.421940229275727	OG0010804	1
Ha412HOChr01:104715690-104718420	0.421907096945199	OG0001751	3
Ha412HOChr01:104875349-104878420	0.421873964614671	OG0009418	1
Ha412HOChr01:104881478-104890852	0.421840832284143	OG0001750	3
Ha412HOChr01:10493031-10496675	0.208733682327215	OG0004818	4
Ha412HOChr01:104998110-105002615	0.424922139023259	OG0001887	6
Ha412HOChr01:105797613-105799150	0.426413093897025	OG0008380	1
Ha412HOChr01:106053474-106064997	0.431217281823603	OG0003680	3
Ha412HOChr01:10650483-10661088	0.208700549996687	OG0006589	2
Ha412HOChr01:10662374-10667607	0.208667417666159	OG0004418	1
Ha412HOChr01:10671639-10678298	0.20863428533563	OG0009216	2
Ha412HOChr01:10682244-10687873	0.208601153005102	OG0013973	1
Ha412HOChr01:10688671-10690253	0.208568020674574	OG0000748	5
Ha412HOChr01:106933682-106944552	0.431184149493075	OG0000869	3
Ha412HOChr01:107311286-107323133	0.438373865217679	OG0000869	3
Ha412HOChr01:107451397-107457841	0.438340732887151	OG0008318	1
Ha412HOChr01:107653559-107658057	0.438307600556623	OG0003146	3
Ha412HOChr01:107662253-107667144	0.438274468226095	OG0014597	9
Ha412HOChr01:107672974-107680235	0.438241335895567	OG0009565	1
Ha412HOChr01:107723875-107727127	0.438208203565039	OG0009413	1
Ha412HOChr01:10772770-10779278	0.208534888344046	OG0008394	1
Ha412HOChr01:107747651-107750930	0.438175071234511	OG0009781	2
Ha412HOChr01:10781535-10783095	0.208501756013518	OG0005743	3
Ha412HOChr01:10784875-10786079	0.20846862368299	OG0005743	3
Ha412HOChr01:107961887-107970872	0.438141938903983	OG0009254	1
Ha412HOChr01:108576128-108579207	0.446922006493937	OG0002626	3
Ha412HOChr01:109196558-109196860	0.456662911669207	OG0008304	2
Ha412HOChr01:109224499-109228199	0.456629779338679	OG0001131	5
Ha412HOChr01:109296399-109299208	0.456596647008151	OG0001131	5
Ha412HOChr01:1094685-1095215	0.219435425087801	OG0011497	2
Ha412HOChr01:109777510-109783315	0.456563514677622	OG0009711	1
Ha412HOChr01:109795246-109802284	0.456530382347094	OG0004050	2
Ha412HOChr01:109803429-109803991	0.456497250016566	OG0013890	1
Ha412HOChr01:109805691-109808121	0.456464117686038	OG0007883	1
Ha412HOChr01:109813664-109820047	0.45643098535551	OG0005883	1
