chr	start	end	co_100k	cM_Mb	a$cM_Mb
Athal_NC_003070.9	100000	200000	16	16	16
Athal_NC_003070.9	200000	300000	12	12	12
Athal_NC_003070.9	300000	400000	1	1	1
Athal_NC_003070.9	400000	500000	21	21	21
Athal_NC_003070.9	500000	600000	26	26	26
Athal_NC_003070.9	600000	700000	23	23	23
Athal_NC_003070.9	700000	800000	17	17	17
Athal_NC_003070.9	800000	900000	2	2	2
Athal_NC_003070.9	900000	1000000	6	6	6
Athal_NC_003070.9	1000000	1100000	8	8	8
Athal_NC_003070.9	1100000	1200000	21	21	21
Athal_NC_003070.9	1200000	1300000	16	16	16
Athal_NC_003070.9	1300000	1400000	3	3	3
Athal_NC_003070.9	1400000	1500000	13	13	13
Athal_NC_003070.9	1500000	1600000	28	28	28
Athal_NC_003070.9	1600000	1700000	7	7	7
Athal_NC_003070.9	1700000	1800000	9	9	9
Athal_NC_003070.9	1800000	1900000	20	20	20
Athal_NC_003070.9	1900000	2000000	6	6	6
Athal_NC_003070.9	2000000	2100000	4	4	4
Athal_NC_003070.9	2100000	2200000	7	7	7
Athal_NC_003070.9	2200000	2300000	17	17	17
Athal_NC_003070.9	2300000	2400000	9	9	9
Athal_NC_003070.9	2400000	2500000	10	10	10
Athal_NC_003070.9	2500000	2600000	12	12	12
Athal_NC_003070.9	2600000	2700000	16	16	16
Athal_NC_003070.9	2700000	2800000	12	12	12
Athal_NC_003070.9	2800000	2900000	15	15	15
Athal_NC_003070.9	2900000	3000000	7	7	7
Athal_NC_003070.9	3000000	3100000	3	3	3
Athal_NC_003070.9	3100000	3200000	3	3	3
Athal_NC_003070.9	3200000	3300000	6	6	6
Athal_NC_003070.9	3300000	3400000	3	3	3
Athal_NC_003070.9	3400000	3500000	13	13	13
Athal_NC_003070.9	3500000	3600000	15	15	15
Athal_NC_003070.9	3600000	3700000	3	3	3
Athal_NC_003070.9	3700000	3800000	14	14	14
Athal_NC_003070.9	3800000	3900000	15	15	15
Athal_NC_003070.9	3900000	4000000	8	8	8
Athal_NC_003070.9	4000000	4100000	18	18	18
Athal_NC_003070.9	4100000	4200000	14	14	14
Athal_NC_003070.9	4200000	4300000	34	34	34
Athal_NC_003070.9	4300000	4400000	9	9	9
Athal_NC_003070.9	4400000	4500000	9	9	9
Athal_NC_003070.9	4500000	4600000	20	20	20
Athal_NC_003070.9	4600000	4700000	7	7	7
Athal_NC_003070.9	4700000	4800000	14	14	14
Athal_NC_003070.9	4800000	4900000	15	15	15
Athal_NC_003070.9	4900000	5000000	13	13	13
Athal_NC_003070.9	5000000	5100000	2	2	2
Athal_NC_003070.9	5100000	5200000	12	12	12
Athal_NC_003070.9	5200000	5300000	3	3	3
Athal_NC_003070.9	5300000	5400000	14	14	14
Athal_NC_003070.9	5400000	5500000	8	8	8
Athal_NC_003070.9	5500000	5600000	5	5	5
Athal_NC_003070.9	5600000	5700000	7	7	7
Athal_NC_003070.9	5700000	5800000	6	6	6
Athal_NC_003070.9	5800000	5900000	8	8	8
