gene	rec_mean	orthogroup	freq
Ha412HOChr01:100015321-100021145	0.407841140529532	OG0005571	1
Ha412HOChr01:100574083-100575248	0.407809317718941	OG0000314	7
Ha412HOChr01:100786575-100789683	0.40777749490835	OG0022542	3
Ha412HOChr01:100928619-100930738	0.40774567209776	OG0006124	3
Ha412HOChr01:101202030-101206538	0.412900967413442	OG0009438	1
Ha412HOChr01:10171628-10172339	0.210444246435845	OG0014595	9
Ha412HOChr01:101773069-101779363	0.412869144602851	OG0003351	2
Ha412HOChr01:101916391-101920558	0.412837321792261	OG0015799	2
Ha412HOChr01:101941690-101949551	0.41280549898167	OG0013207	1
Ha412HOChr01:101951935-101955754	0.412773676171079	OG0012984	1
Ha412HOChr01:10200439-10203596	0.210412423625255	OG0026902	2
Ha412HOChr01:10203598-10204322	0.210380600814664	OG0026903	2
Ha412HOChr01:102235852-102238293	0.416751527494908	OG0005123	1
Ha412HOChr01:102240291-102245088	0.416719704684318	OG0004991	2
Ha412HOChr01:102376727-102378016	0.416687881873727	OG0015139	8
Ha412HOChr01:102378196-102378645	0.416656059063136	OG0015139	8
Ha412HOChr01:102452048-102469793	0.416624236252546	OG0003454	2
Ha412HOChr01:102470785-102472532	0.416592413441955	OG0016331	4
Ha412HOChr01:102487944-102494763	0.416560590631365	OG0011771	1
Ha412HOChr01:102581461-102587216	0.416528767820774	OG0007680	3
Ha412HOChr01:102598704-102603264	0.416496945010183	OG0026943	2
Ha412HOChr01:102649771-102656049	0.416465122199593	OG0026716	1
Ha412HOChr01:102858341-102861653	0.416433299389002	OG0003746	1
Ha412HOChr01:102863747-102866960	0.416401476578411	OG0006127	2
Ha412HOChr01:102919232-102921612	0.416369653767821	OG0017776	5
Ha412HOChr01:102928365-102929036	0.41633783095723	OG0015602	3
Ha412HOChr01:103040949-103042088	0.420952138492872	OG0003187	4
Ha412HOChr01:103055235-103057302	0.420920315682281	OG0003187	4
Ha412HOChr01:103101662-103118853	0.42088849287169	OG0004301	2
Ha412HOChr01:103656670-103674209	0.4208566700611	OG0004301	2
Ha412HOChr01:103794903-103795518	0.420824847250509	OG0001948	2
Ha412HOChr01:104002167-104003393	0.427253054989817	OG0009484	2
Ha412HOChr01:10405756-10409951	0.210348778004073	OG0004819	2
Ha412HOChr01:104124004-104131166	0.427221232179226	OG0010810	2
Ha412HOChr01:104144571-104150504	0.427189409368635	OG0001406	4
Ha412HOChr01:104151262-104154100	0.427157586558045	OG0010804	1
Ha412HOChr01:104264270-104266989	0.427125763747454	OG0017777	5
Ha412HOChr01:104398335-104400801	0.427093940936864	OG0022543	3
Ha412HOChr01:104715690-104718420	0.427062118126273	OG0001751	3
Ha412HOChr01:104875349-104878420	0.427030295315682	OG0009418	1
Ha412HOChr01:104881478-104890852	0.426998472505092	OG0001750	3
Ha412HOChr01:10493031-10496675	0.210316955193483	OG0004818	4
Ha412HOChr01:104998110-105002615	0.430371690427699	OG0001887	6
