gene	min_CLR	scan_n	mean_emp_p	orthogroup	ortho_size
Ha412HOChr00c00001:218888-220273	0	2	1	OG0000227	3
Ha412HOChr00c00001:267542-270512	0	4	0.99996829422955	OG0014594	8
Ha412HOChr00c00005:178995-183602	0	6	0.215821179454661	OG0002901	3
Ha412HOChr00c00005:187163-190878	14.386443	5	0.209638554216867	OG0001938	6
Ha412HOChr00c00005:239676-240659	87.989845	2	0.019435637285986	OG0004398	3
Ha412HOChr00c00005:244375-247827	15.44304	5	0.15285351934052	OG0004684	3
Ha412HOChr00c00007:121560-126750	8.469666	7	0.170735573874445	OG0013115	1
Ha412HOChr00c00008:238425-242683	0	5	0.701838934686113	OG0001965	7
Ha412HOChr00c00008:3174-7219	0	1	0.9999365884591	OG0002718	3
Ha412HOChr00c00008:91540-105926	0	15	0.999904882688649	OG0001965	7
Ha412HOChr00c00009:165060-166172	0	3	0.00643627140139505	OG0002263	6
Ha412HOChr00c00014:105954-108439	0	4	0.0163918833227647	OG0007567	1
Ha412HOChr00c00014:72726-84192	0	13	0.248446417247939	OG0011692	1
Ha412HOChr00c00017:20566-21894	0	3	0.999873176918199	OG0014575	3
Ha412HOChr00c00017:226258-228583	0	4	0.999841471147749	OG0022905	3
Ha412HOChr00c00017:73721-74431	0	2	0.999809765377299	OG0027853	2
Ha412HOChr00c00017:75262-83739	0	9	0.999778059606848	OG0000332	3
Ha412HOChr00c00017:80258-80941	0	2	0.999746353836398	OG0027853	2
Ha412HOChr00c00020:103272-118491	0	16	0.0411857958148383	OG0007302	3
Ha412HOChr00c00020:134200-138522	0	5	0.419023462270133	OG0007302	3
Ha412HOChr00c00021:69116-80455	0	13	0.999714648065948	OG0020251	4
Ha412HOChr00c00022:87974-92878	0	1	0.999682942295498	OG0004287	5
Ha412HOChr00c00023:143797-147565	0	5	0.999651236525048	OG0027791	2
Ha412HOChr00c00023:182563-184516	0	3	0.999619530754597	OG0000227	3
Ha412HOChr00c00023:186746-193128	0	7	0.999587824984147	OG0016676	5
Ha412HOChr00c00023:202277-211362	0	7	0.889854153455929	OG0016676	5
Ha412HOChr00c00039:89592-91738	0	3	0.999556119213697	OG0008058	2
Ha412HOChr00c00040:8151-9465	0	2	0.949080532656944	OG0000533	5
Ha412HOChr00c00041:101616-105136	11.930925	4	0.417660114140774	OG0006870	4
Ha412HOChr00c00041:83685-84428	26.556364	1	0.223874445149017	OG0017725	4
Ha412HOChr00c00041:85802-87938	8.812969	3	0.32136968928345	OG0017725	4
Ha412HOChr00c00052:19875-22831	0	4	0.94575142675967	OG0000073	2
Ha412HOChr00c00061:9916-11371	0	1	0.999524413443247	OG0005063	5
Ha412HOChr00c00065:24176-24760	0	2	0.999492707672796	OG0001326	4
Ha412HOChr00c00065:61375-61926	0	2	0.999461001902346	OG0002969	2
Ha412HOChr00c00071:9103-9538	0	2	0.00440710209258085	OG0014099	10
Ha412HOChr00c00090:25389-25963	0	2	0.999429296131896	OG0019803	1
Ha412HOChr00c00094:17514-22075	0	4	0.116074825618263	OG0012448	1
Ha412HOChr00c00094:22759-24734	0	2	0.783861762840837	OG0027696	2
Ha412HOChr00c00097:33125-33592	0	1	0.999397590361446	OG0022528	3
Ha412HOChr00c00124:11291-12778	0	2	0.999365884590996	OG0004556	2
Ha412HOChr00c00144:571-1748	0	2	0.999334178820545	OG0004398	3
Ha412HOChr00c00155:38073-39958	0	2	0.498446417247939	OG0027662	2
Ha412HOChr00c00169:10608-11357	24.208738	2	0.103646163601776	OG0001552	4
Ha412HOChr00c00169:17696-18564	0	2	0.694197844007609	OG0008793	3
Ha412HOChr00c00180:24700-28108	0	4	0.193912492073557	OG0025445	1
Ha412HOChr00c00180:33306-35423	0	3	0.217057704502219	OG0001114	5
Ha412HOChr00c00192:13065-14928	0	3	0.643658845909956	OG0010040	2
Ha412HOChr00c00198:12281-15173	34.571037	4	0.138681039949271	OG0016636	5
Ha412HOChr00c00203:5390-7671	0	2	0.999302473050095	OG0001142	4
Ha412HOChr00c00207:1-1933	0	2	0.999270767279645	OG0008175	3
Ha412HOChr00c00212:27325-28980	4.497194	2	0.498319594166138	OG0014097	10
Ha412HOChr00c00220:19187-20705	0	3	0.050856055802156	OG0020147	4
Ha412HOChr00c00221:28176-29470	0	1	0.999239061509195	OG0007692	2
Ha412HOChr00c00234:428-1802	0	2	0.665599239061509	OG0004236	4
Ha412HOChr00c00238:5355-14141	0	9	0.211572606214331	OG0002502	4
Ha412HOChr00c00274:10573-11575	25.057137	1	0.248256182625238	OG0011465	2
Ha412HOChr00c00298:9912-15494	0	2	0.999207355738744	OG0003169	4
Ha412HOChr00c00327:1386-2519	21.022417	2	0.151077996195308	OG0017204	1
Ha412HOChr00c00327:3674-4444	45.02702	2	0.0816423589093215	OG0003314	7
Ha412HOChr00c00327:4985-8245	15.386238	4	0.135320228281547	OG0003314	7
Ha412HOChr00c00341:11498-12883	44.62487	2	0.0475903614457831	OG0010799	2
Ha412HOChr00c00341:16665-18783	0	3	0.032435003170577	OG0022578	3
Ha412HOChr00c00362:6392-8769	0	2	0.999175649968294	OG0014437	2
Ha412HOChr00c00382:1-1527	0	1	0.999143944197844	OG0002443	4
Ha412HOChr00c00387:13683-16408	0	3	0.201743817374762	OG0022877	3
Ha412HOChr00c00399:8931-12357	0	4	0.999112238427394	OG0022899	2
Ha412HOChr00c00447:1847-2863	0	2	0.940329740012682	OG0001630	2
Ha412HOChr00c00459:11697-13000	0	1	0.999080532656944	OG0000533	5
Ha412HOChr00c00461:1601-3730	0	2	0.999048826886493	OG0001843	5
Ha412HOChr00c00485:8368-11820	0	4	0.764521242866202	OG0027830	2
Ha412HOChr00c00486:2095-2568	38.710541	1	0.110779961953075	OG0003621	3
Ha412HOChr00c00530:5379-5943	0	1	0.999017121116043	OG0017860	3
Ha412HOChr00c00557:1-908	0	2	0.130596068484464	OG0004699	6
Ha412HOChr00c00584:1-5228	0	5	0.359226379201015	OG0000660	6
Ha412HOChr00c00615:4149-7558	0	2	0.998985415345593	OG0001938	6
Ha412HOChr00c00631:1-2618	0	2	0.998953709575143	OG0002722	5
Ha412HOChr00c00661:3541-8641	0	6	0.93284717818643	OG0003985	3
Ha412HOChr00c00691:1415-3702	0	2	0.998922003804692	OG0027875	1
Ha412HOChr00c00698:3066-8004	0	5	0.20577045022194	OG0000255	1
Ha412HOChr00c00706:5686-6671	0	1	0.998890298034242	OG0001169	6
Ha412HOChr00c00717:2437-3281	17.814007	2	0.402060875079264	OG0016653	6
Ha412HOChr00c00881:2192-3692	0	1	0.998858592263792	OG0022851	3
Ha412HOChr00c00934:1147-5301	0	1	0.998826886493342	OG0002079	4
Ha412HOChr00c00944:477-4425	0	3	0.951743817374762	OG0014878	3
Ha412HOChr00c00997:232-1074	0	1	0.998795180722892	OG0014881	2
Ha412HOChr00c01149:1167-2632	0	3	0.87143310082435	OG0027707	2
Ha412HOChr00c01236:1193-2584	0	2	0.998763474952441	OG0022907	3
Ha412HOChr00c01246:1432-2246	0	2	0.638934686112873	OG0022863	3
Ha412HOChr00c01457:694-1849	0	2	0.998731769181991	OG0015807	7
Ha412HOChr00c01503:1-2014	0	2	0.998700063411541	OG0021835	1
Ha412HOChr00c01662:512-1819	0	2	0.998668357641091	OG0015807	7
Ha412HOChr00c01712:1-1274	0	2	0.99863665187064	OG0027037	2
Ha412HOChr00c01888:126-1634	0	2	0.99860494610019	OG0003599	4
Ha412HOChr00c02064:609-1364	0	2	0.99857324032974	OG0013980	2
Ha412HOChr00c02126:459-1427	0	2	0.99854153455929	OG0000890	6
Ha412HOChr00c02201:1-1471	0	2	0.99850982878884	OG0008264	1
Ha412HOChr00c02318:438-689	0	2	0.998478123018389	OG0017279	2
Ha412HOChr00c02372:1-474	0	2	0.998446417247939	OG0002079	4
Ha412HOChr00c02463:1-1373	0	2	0.998414711477489	OG0024536	1
Ha412HOChr00c02657:13-711	0	2	0.998383005707039	OG0002717	4
Ha412HOChr00c02844:1-402	0	2	0.998351299936588	OG0000903	5
Ha412HOChr00c03128:1-873	0	2	0.998319594166138	OG0002008	6
Ha412HOChr00c03269:1-1182	0	2	0.998287888395688	OG0027877	1
Ha412HOChr00c03475:1-819	0	2	0.998256182625238	OG0002392	4
Ha412HOChr00c04197:1-279	0	1	0.998224476854788	OG0022751	3
Ha412HOChr00c04267:1-420	0	1	0.998192771084337	OG0007935	2
Ha412HOChr00c04482:211-1027	0	2	0.998161065313887	OG0004555	3
Ha412HOChr00c05505:267-866	0	2	0.998129359543437	OG0001152	6
Ha412HOChr00c07095:1-519	0	2	0.998097653772987	OG0017853	5
Ha412HOChr00c07215:1-479	0	2	0.998065948002536	OG0002252	5
Ha412HOChr00c08041:1-439	0	2	0.998034242232086	OG0022911	1
Ha412HOChr00c09275:1-671	0	2	0.998002536461636	OG0010079	2
Ha412HOChr00c09357:1-737	0	2	0.997970830691186	OG0002734	5
Ha412HOChr00c12214:18-595	0	2	0.997939124920736	OG0010282	6
Ha412HOChr00c15259:1-569	0	2	0.997907419150285	OG0022314	1
Ha412HOChr01:100015321-100021145	2.118778	7	0.718072289156626	OG0005571	1
Ha412HOChr01:100574083-100575248	6.908584	2	0.710589727330374	OG0000314	7
Ha412HOChr01:100786575-100789683	0	4	0.997875713379835	OG0022542	3
Ha412HOChr01:100928619-100930738	2.11668	3	0.936429930247305	OG0006124	3
Ha412HOChr01:101202030-101206538	2.064322	5	0.32577679137603	OG0009438	1
Ha412HOChr01:10171628-10172339	2.21129	1	0.948731769181991	OG0014595	9
Ha412HOChr01:101773069-101779363	1.256384	7	0.941629676601141	OG0003351	2
Ha412HOChr01:101916391-101920558	0	6	0.216645529486367	OG0015799	2
Ha412HOChr01:101941690-101949551	0	9	0.0525364616360178	OG0013207	1
Ha412HOChr01:101951935-101955754	4.684727	5	0.748858592263792	OG0012984	1
Ha412HOChr01:10200439-10203596	3.485109	5	0.515028535193405	OG0026902	2
Ha412HOChr01:10203598-10204322	8.682161	1	0.728313253012048	OG0026903	2
Ha412HOChr01:102235852-102238293	1.887398	3	0.683734939759036	OG0005123	1
Ha412HOChr01:102240291-102245088	1.745034	6	0.887761572606214	OG0004991	2
Ha412HOChr01:102376727-102378016	4.604755	2	0.895402663284718	OG0015139	8
Ha412HOChr01:102378196-102378645	4.604755	2	0.895370957514268	OG0015139	8
Ha412HOChr01:102452048-102469793	2.971049	19	0.519181991122384	OG0003454	2
Ha412HOChr01:102470785-102472532	4.650024	2	0.838649334178821	OG0016331	4
Ha412HOChr01:102487944-102494763	2.679572	8	0.440266328471782	OG0011771	1
Ha412HOChr01:102581461-102587216	0	7	0.952377932783767	OG0007680	3
Ha412HOChr01:102598704-102603264	15.401687	5	0.149651236525048	OG0026943	2
Ha412HOChr01:102649771-102656049	2.575802	7	0.571020925808497	OG0026716	1
Ha412HOChr01:102858341-102861653	1.595595	5	0.346987951807229	OG0003746	1
Ha412HOChr01:102863747-102866960	3.406683	4	0.189632213062777	OG0006127	2
Ha412HOChr01:102919232-102921612	24.244507	4	0.0718769816106531	OG0017776	5
Ha412HOChr01:102928365-102929036	2.633222	2	0.189124920735574	OG0015602	3
Ha412HOChr01:103040949-103042088	0	2	0.997844007609385	OG0003187	4
Ha412HOChr01:103055235-103057302	0	3	0.952790107799619	OG0003187	4
Ha412HOChr01:103101662-103118853	1.236179	18	0.129359543436906	OG0004301	2
Ha412HOChr01:103656670-103674209	1.824079	18	0.559258084971465	OG0004301	2
Ha412HOChr01:103794903-103795518	12.291085	1	0.584083703233989	OG0001948	2
Ha412HOChr01:104002167-104003393	4.84592	2	0.596068484464172	OG0009484	2
Ha412HOChr01:10405756-10409951	2.814565	5	0.378725428027901	OG0004819	2
Ha412HOChr01:104124004-104131166	1.669551	8	0.650285351934052	OG0010810	2
Ha412HOChr01:104144571-104150504	2.10017	6	0.921655041217502	OG0001406	4
Ha412HOChr01:104151262-104154100	1.365581	4	0.275618262523779	OG0010804	1
Ha412HOChr01:104264270-104266989	11.483441	4	0.142168674698795	OG0017777	5
Ha412HOChr01:104398335-104400801	4.573832	4	0.34860494610019	OG0022543	3
Ha412HOChr01:104715690-104718420	4.656971	3	0.169879518072289	OG0001751	3
Ha412HOChr01:104875349-104878420	3.52812	4	0.879803424223209	OG0009418	1
Ha412HOChr01:104881478-104890852	1.697867	11	0.265313887127457	OG0001750	3
