gene	rec_mean	orthogroup	freq
Athal_NC_003070.9:10006230-10006778	0.553381662410413	OG0004489	3
Athal_NC_003070.9:10010124-10012258	0.553340472856084	OG0018350	1
Athal_NC_003070.9:1001116-1004410	0.273127934755746	OG0000747	5
Athal_NC_003070.9:10013434-10014256	0.553299283301755	OG0002923	1
Athal_NC_003070.9:10015856-10018047	0.553258093747426	OG0006509	1
Athal_NC_003070.9:10018691-10020479	0.553216904193097	OG0014206	2
Athal_NC_003070.9:10023817-10026311	0.553175714638768	OG0002671	2
Athal_NC_003070.9:10029083-10031990	0.553134525084439	OG0003702	1
Athal_NC_003070.9:10031985-10035638	0.55309333553011	OG0009179	1
Athal_NC_003070.9:10035617-10037403	0.553052145975781	OG0011686	1
Athal_NC_003070.9:10036601-10037872	0.553010956421451	OG0000234	9
Athal_NC_003070.9:10038029-10041544	0.552969766867123	OG0006510	1
Athal_NC_003070.9:1004688-1008370	0.273086745201417	OG0000389	7
Athal_NC_003070.9:10058456-10063452	0.552928577312793	OG0015441	2
Athal_NC_003070.9:10078189-10079909	0.552887387758464	OG0011687	1
Athal_NC_003070.9:10080042-10081604	0.552846198204135	OG0011688	1
Athal_NC_003070.9:10081871-10083122	0.552805008649806	OG0001247	3
Athal_NC_003070.9:10083500-10085030	0.552763819095477	OG0001247	3
Athal_NC_003070.9:10086366-10089772	0.552722629541148	OG0001247	3
Athal_NC_003070.9:1009228-1011145	0.273045555647088	OG0000684	2
Athal_NC_003070.9:10095674-10096374	0.552681439986819	OG0018351	1
Athal_NC_003070.9:10103081-10104883	0.783301754675014	OG0008118	1
Athal_NC_003070.9:10109500-10111738	0.783260565120685	OG0001614	3
Athal_NC_003070.9:1011151-1013365	0.273004366092759	OG0003020	2
Athal_NC_003070.9:10112564-10114491	0.783219375566356	OG0012941	1
Athal_NC_003070.9:10114912-10115749	0.783178186012027	OG0003928	1
Athal_NC_003070.9:10117715-10119085	0.783136996457698	OG0018352	1
Athal_NC_003070.9:10120300-10122973	0.783095806903369	OG0008119	4
Athal_NC_003070.9:10124286-10127098	0.78305461734904	OG0008119	4
Athal_NC_003070.9:10129027-10133992	0.783013427794711	OG0004007	2
Athal_NC_003070.9:10134069-10136124	0.782972238240382	OG0009180	1
Athal_NC_003070.9:10135451-10136241	0.782931048686053	OG0018353	1
Athal_NC_003070.9:10136246-10139228	0.782889859131724	OG0001117	4
Athal_NC_003070.9:1013652-1017957	0.27296317653843	OG0001057	5
Athal_NC_003070.9:10147605-10149780	0.782848669577395	OG0005337	2
Athal_NC_003070.9:10149791-10151407	0.782807480023066	OG0010402	1
Athal_NC_003070.9:10157494-10158805	0.782766290468737	OG0008120	4
Athal_NC_003070.9:10162795-10164452	0.782725100914408	OG0008120	4
Athal_NC_003070.9:10168717-10169916	0.782683911360079	OG0018354	1
Athal_NC_003070.9:10171683-10173071	0.78264272180575	OG0008120	4
Athal_NC_003070.9:10174187-10178521	0.782601532251421	OG0010403	1
Athal_NC_003070.9:10178902-10180225	0.782560342697092	OG0002332	3
Athal_NC_003070.9:10180302-10182788	0.782519153142763	OG0004394	1
Athal_NC_003070.9:1018100-1019247	0.272921986984101	OG0002906	2
Athal_NC_003070.9:10183390-10184512	0.782477963588434	OG0005338	2
Athal_NC_003070.9:10190137-10195213	0.782436774034105	OG0005339	2
Athal_NC_003070.9:1019311-1022108	0.272880797429772	OG0004436	2
Athal_NC_003070.9:10198764-10200255	0.724812587527803	OG0013946	1
Athal_NC_003070.9:10202414-10203491	0.662822308262625	OG0007214	1
Athal_NC_003070.9:10207577-10210488	0.662781118708296	OG0009182	1
Athal_NC_003070.9:10210520-10212722	0.662739929153967	OG0007215	1
Athal_NC_003070.9:10214681-10216563	0.662698739599638	OG0002331	4
Athal_NC_003070.9:10216779-10219942	0.662657550045308	OG0001248	3
Athal_NC_003070.9:1022251-1023719	0.272839607875443	OG0021540	1
Athal_NC_003070.9:10223266-10224799	0.662616360490979	OG0001328	3
Athal_NC_003070.9:10224815-10226322	0.66257517093665	OG0009181	1
Athal_NC_003070.9:10229808-10231384	0.662533981382321	OG0010404	1
Athal_NC_003070.9:10236337-10237990	0.662492791827992	OG0002497	2
Athal_NC_003070.9:10244453-10245874	0.662451602273663	OG0010405	1
Athal_NC_003070.9:1024740-1027616	0.272798418321114	OG0001664	3
Athal_NC_003070.9:10247707-10249704	0.662410412719334	OG0010406	1
Athal_NC_003070.9:10252241-10254792	0.662369223165005	OG0002346	3
Athal_NC_003070.9:10255250-10258343	0.662328033610676	OG0007216	1
Athal_NC_003070.9:10258248-10261232	0.662286844056347	OG0001900	2
Athal_NC_003070.9:10264043-10266917	0.662245654502018	OG0007217	1
Athal_NC_003070.9:10268421-10273821	0.662204464947689	OG0003703	2
Athal_NC_003070.9:10274048-10275539	0.66216327539336	OG0009086	1
Athal_NC_003070.9:10277890-10283225	0.662122085839031	OG0003703	2
Athal_NC_003070.9:1027853-1029119	0.272757228766785	OG0001914	3
Athal_NC_003070.9:10283500-10286164	0.662080896284702	OG0016926	1
Athal_NC_003070.9:10286067-10287904	0.662039706730373	OG0009183	2
Athal_NC_003070.9:10288129-10289666	0.661998517176044	OG0009183	2
Athal_NC_003070.9:10289998-10294630	0.661957327621715	OG0000540	3
Athal_NC_003070.9:10297750-10300008	0.55264025043249	OG0005866	3
Athal_NC_003070.9:10301377-10302099	0.420339401927671	OG0000143	9
Athal_NC_003070.9:10302585-10303418	0.420298212373342	OG0000143	9
Athal_NC_003070.9:10304507-10305108	0.420257022819013	OG0000143	9
Athal_NC_003070.9:10305553-10306595	0.420215833264684	OG0000143	9
Athal_NC_003070.9:10307352-10308246	0.420174643710355	OG0000143	9
Athal_NC_003070.9:1030957-1036264	0.272716039212456	OG0012031	1
Athal_NC_003070.9:10310131-10314147	0.420133454156026	OG0000583	4
Athal_NC_003070.9:10317936-10318711	0.420092264601697	OG0015289	1
Athal_NC_003070.9:10319732-10320402	0.420051075047368	OG0000143	9
Athal_NC_003070.9:10321011-10321978	0.420009885493039	OG0000143	9
Athal_NC_003070.9:10322423-10323239	0.41996869593871	OG0000143	9
Athal_NC_003070.9:10323636-10324826	0.419927506384381	OG0004850	2
Athal_NC_003070.9:10324745-10326848	0.419886316830052	OG0004851	2
Athal_NC_003070.9:10327346-10328105	0.419845127275723	OG0020936	1
Athal_NC_003070.9:10330425-10332326	0.419803937721394	OG0002924	3
Athal_NC_003070.9:10332371-10335714	0.419762748167065	OG0024870	1
Athal_NC_003070.9:10338443-10339146	0.419721558612736	OG0006220	2
Athal_NC_003070.9:10339992-10341832	0.419680369058407	OG0002924	3
Athal_NC_003070.9:10347363-10349017	0.419639179504078	OG0021391	3
Athal_NC_003070.9:10349455-10353833	0.419597989949749	OG0009531	1
Athal_NC_003070.9:10355638-10356482	0.41955680039542	OG0002045	4
Athal_NC_003070.9:1036493-1040262	0.272674849658127	OG0008400	1
Athal_NC_003070.9:10371675-10374005	0.419515610841091	OG0001755	4
Athal_NC_003070.9:10375599-10377717	0.419474421286762	OG0001755	4
Athal_NC_003070.9:10377790-10378961	0.419433231732433	OG0005895	3
Athal_NC_003070.9:10379020-10382153	0.419392042178104	OG0003539	1
Athal_NC_003070.9:10384945-10387441	0.419350852623775	OG0010752	1
Athal_NC_003070.9:10387514-10389286	0.419309663069446	OG0021136	1
Athal_NC_003070.9:10393659-10399873	0.419268473515117	OG0000038	5
Athal_NC_003070.9:10400564-10405913	0.552599060878161	OG0016068	2
Athal_NC_003070.9:1040375-1042892	0.272633660103798	OG0002947	2
Athal_NC_003070.9:10407220-10413119	0.552557871323832	OG0016068	2
Athal_NC_003070.9:10413881-10420774	0.552516681769503	OG0000038	5
Athal_NC_003070.9:10422292-10424513	0.552475492215174	OG0002591	2
Athal_NC_003070.9:1042362-1043887	0.272592470549469	OG0005387	2
Athal_NC_003070.9:10424463-10425801	0.552434302660845	OG0002910	3
Athal_NC_003070.9:10425622-10426947	0.552393113106516	OG0024871	1
Athal_NC_003070.9:10426950-10427615	0.552351923552187	OG0002910	3
Athal_NC_003070.9:10429718-10432123	0.552310733997858	OG0008430	1
Athal_NC_003070.9:10432599-10435441	0.552269544443529	OG0006741	1
Athal_NC_003070.9:10435374-10437558	0.5522283548892	OG0009530	1
Athal_NC_003070.9:10437657-10440786	0.552187165334871	OG0004104	3
Athal_NC_003070.9:10441053-10445657	0.552145975780542	OG0004104	3
Athal_NC_003070.9:104440-105330	0.623733421204383	OG0008393	1
Athal_NC_003070.9:10445619-10447753	0.552104786226213	OG0000484	5
Athal_NC_003070.9:10447347-10449969	0.552063596671884	OG0012066	1
Athal_NC_003070.9:10454433-10455874	0.552022407117555	OG0002950	2
Athal_NC_003070.9:1045598-1049864	0.27255128099514	OG0000784	3
Athal_NC_003070.9:10459457-10462967	0.551981217563226	OG0003490	1
Athal_NC_003070.9:10463029-10467452	0.551940028008897	OG0001499	4
Athal_NC_003070.9:10467956-10472211	0.551898838454568	OG0008429	1
Athal_NC_003070.9:10472280-10473502	0.551857648900239	OG0000314	7
Athal_NC_003070.9:10474656-10475969	0.55181645934591	OG0000314	7
Athal_NC_003070.9:10477885-10479114	0.551775269791581	OG0000314	7
Athal_NC_003070.9:10479007-10486824	0.551734080237252	OG0009529	1
Athal_NC_003070.9:10491698-10494598	0.551692890682923	OG0006124	1
Athal_NC_003070.9:10494627-10496205	0.551651701128594	OG0017083	2
Athal_NC_003070.9:10496730-10497287	0.551610511574265	OG0004489	3
Athal_NC_003070.9:10498310-10499462	0.551569322019936	OG0001822	4
Athal_NC_003070.9:10498351-10501427	0.692396408270862	OG0001822	4
Athal_NC_003070.9:10503239-10506189	0.803319878078919	OG0008428	2
Athal_NC_003070.9:1050505-1051194	0.272510091440811	OG0004030	2
Athal_NC_003070.9:10507533-10509151	0.80327868852459	OG0009528	1
Athal_NC_003070.9:10509156-10512558	0.803237498970261	OG0010751	1
Athal_NC_003070.9:1051312-1056827	0.272468901886482	OG0003168	2
Athal_NC_003070.9:10513194-10516385	0.803196309415932	OG0013103	1
Athal_NC_003070.9:10515874-10516347	0.803155119861603	OG0018753	1
Athal_NC_003070.9:10537457-10540044	0.803113930307274	OG0001821	3
Athal_NC_003070.9:10543022-10544594	0.803072740752945	OG0018752	1
Athal_NC_003070.9:10545087-10545906	0.803031551198616	OG0012948	5
Athal_NC_003070.9:10546511-10548236	0.802990361644287	OG0010750	1
Athal_NC_003070.9:10550855-10553295	0.802949172089958	OG0003452	2
Athal_NC_003070.9:10559496-10561545	0.802907982535629	OG0003052	2
Athal_NC_003070.9:1057041-1059454	0.272427712332153	OG0001637	4
Athal_NC_003070.9:10571310-10573365	0.8028667929813	OG0000713	5
Athal_NC_003070.9:10581735-10583949	0.802825603426971	OG0012227	1
Athal_NC_003070.9:10584105-10586680	0.802784413872642	OG0004207	2
Athal_NC_003070.9:10587471-10590209	0.802743224318313	OG0012228	1
Athal_NC_003070.9:1059470-1061209	0.272386522777824	OG0018729	1
Athal_NC_003070.9:10596352-10597341	0.802702034763984	OG0005624	2
Athal_NC_003070.9:10598542-10599696	0.802660845209655	OG0000371	6
