gene	rec_mean	orthogroup	freq
Athal_NC_003070.9:10003880-10004581	0.556467082976205	OG0004489	4
Athal_NC_003070.9:10006230-10006778	0.556426268315579	OG0004489	4
Athal_NC_003070.9:10010124-10012258	0.556385453654953	OG0018350	1
Athal_NC_003070.9:1001116-1004410	0.27647851108118	OG0000747	5
Athal_NC_003070.9:10013434-10014256	0.556344638994327	OG0002923	1
Athal_NC_003070.9:10015856-10018047	0.556303824333701	OG0006509	1
Athal_NC_003070.9:10018691-10020479	0.556263009673075	OG0014206	2
Athal_NC_003070.9:10023817-10026311	0.556222195012449	OG0002671	2
Athal_NC_003070.9:10029083-10031990	0.556181380351822	OG0003702	1
Athal_NC_003070.9:10031985-10035638	0.556140565691196	OG0009179	1
Athal_NC_003070.9:10035617-10037403	0.55609975103057	OG0011686	1
Athal_NC_003070.9:10036601-10037872	0.556058936369944	OG0000234	9
Athal_NC_003070.9:10038029-10041544	0.556018121709318	OG0006510	1
Athal_NC_003070.9:1004688-1008370	0.276437696420554	OG0000389	7
Athal_NC_003070.9:10058456-10063452	0.555977307048692	OG0015441	2
Athal_NC_003070.9:10078189-10079909	0.555936492388066	OG0011687	1
Athal_NC_003070.9:10080042-10081604	0.55589567772744	OG0011688	1
Athal_NC_003070.9:10081871-10083122	0.555854863066814	OG0001247	3
Athal_NC_003070.9:10083500-10085030	0.555814048406188	OG0001247	3
Athal_NC_003070.9:10086366-10089772	0.555773233745561	OG0001247	3
Athal_NC_003070.9:1009228-1011145	0.276396881759928	OG0000684	2
Athal_NC_003070.9:10095674-10096374	0.555732419084935	OG0018351	1
Athal_NC_003070.9:10103081-10104883	0.784865923839843	OG0008118	1
Athal_NC_003070.9:10109500-10111738	0.784825109179217	OG0001614	3
Athal_NC_003070.9:1011151-1013365	0.276356067099302	OG0003020	2
Athal_NC_003070.9:10112564-10114491	0.784784294518591	OG0012941	1
Athal_NC_003070.9:10114912-10115749	0.784743479857965	OG0003928	1
Athal_NC_003070.9:10117715-10119085	0.784702665197339	OG0018352	1
Athal_NC_003070.9:10120300-10122973	0.784661850536713	OG0008119	4
Athal_NC_003070.9:10124286-10127098	0.784621035876087	OG0008119	4
